parameter,(100)[0],(101)[0],(99)[0],(100)[1],(101)[1],(99)[1],(102)[0],(98)[0],(100)[2],(100)[3],(101)[2],(99)[2],(101)[3],(99)[3],(100)[4],(102)[1],(98)[1],(100)[5],(100)[6],(101)[4],(99)[4],(101)[5],(99)[5],(100)[7],(101)[6],(99)[6],(102)[2],(98)[2],(100)[8],(100)[9],(102)[3],(98)[3],(100)[10],(100)[11],(103)[0],(97)[0],(101)[7],(99)[7],(101)[8],(99)[8],(101)[9],(99)[9],(101)[10],(99)[10],(102)[4],(98)[4],(100)[12],(100)[13],(101)[11],(99)[11],(100)[14],(102)[5],(98)[5],(100)[15],(100)[16],(101)[12],(99)[12],(100)[17],(100)[18],(102)[6],(98)[6],(99)[13],(101)[13],(103)[1]
-0.001,0.571227894,0.168849226,0.168849226,0.04999096,0.011529773,0.011529773,0.003402405,0.003402405,0.003414295,0.003413775,0.001009104,0.001009104,0.000546065,0.000546065,0.0002332,0.000161146,0.000161146,0.000161701,0.000161677,6.89E-05,6.89E-05,4.78E-05,4.78E-05,2.04E-05,1.98E-05,1.98E-05,1.10E-05,1.10E-05,1.10E-05,1.10E-05,5.85E-06,5.85E-06,5.87E-06,5.87E-06,3.24E-06,3.24E-06,3.27E-06,3.27E-06,3.26E-06,3.26E-06,3.26E-06,3.26E-06,1.74E-06,1.74E-06,9.63E-07,9.63E-07,9.67E-07,9.67E-07,5.85E-07,5.85E-07,5.23E-07,3.99E-07,3.99E-07,4.01E-07,4.01E-07,2.23E-07,2.23E-07,1.73E-07,1.73E-07,1.73E-07,1.73E-07,1.55E-07,1.55E-07,1.18E-07
-0.002,0.571343412,0.168784451,0.168784451,0.05002337,0.011526359,0.011526359,0.00339374,0.00339374,0.0034175,0.003416457,0.001009332,0.001009332,0.000545886,0.000545886,0.000233497,0.000160735,0.000160735,0.000161843,0.000161795,6.90E-05,6.90E-05,4.78E-05,4.78E-05,2.04E-05,1.98E-05,1.98E-05,1.10E-05,1.10E-05,1.11E-05,1.11E-05,5.84E-06,5.84E-06,5.87E-06,5.87E-06,3.22E-06,3.22E-06,3.27E-06,3.27E-06,3.27E-06,3.27E-06,3.26E-06,3.26E-06,1.74E-06,1.74E-06,9.61E-07,9.61E-07,9.69E-07,9.68E-07,5.84E-07,5.84E-07,5.24E-07,3.98E-07,3.98E-07,4.02E-07,4.01E-07,2.23E-07,2.23E-07,1.73E-07,1.73E-07,1.72E-07,1.72E-07,1.55E-07,1.55E-07,1.17E-07
-0.004,0.571574218,0.168654953,0.168654953,0.050088207,0.011519518,0.011519518,0.003376478,0.003376478,0.003423909,0.003421818,0.001009785,0.001009785,0.000545527,0.000545527,0.00023409,0.000159915,0.000159915,0.000162127,0.00016203,6.91E-05,6.91E-05,4.78E-05,4.78E-05,2.05E-05,1.98E-05,1.98E-05,1.09E-05,1.09E-05,1.11E-05,1.11E-05,5.81E-06,5.81E-06,5.88E-06,5.88E-06,3.18E-06,3.18E-06,3.28E-06,3.28E-06,3.27E-06,3.27E-06,3.26E-06,3.26E-06,1.74E-06,1.74E-06,9.57E-07,9.57E-07,9.73E-07,9.71E-07,5.84E-07,5.84E-07,5.26E-07,3.96E-07,3.96E-07,4.03E-07,4.02E-07,2.24E-07,2.24E-07,1.73E-07,1.73E-07,1.71E-07,1.71E-07,1.55E-07,1.55E-07,1.15E-07
-0.006,0.571804717,0.168525524,0.168525524,0.050153067,0.01151266,0.01151266,0.003359304,0.003359304,0.00343032,0.003427176,0.001010234,0.001010234,0.000545167,0.000545167,0.000234684,0.000159099,0.000159099,0.000162411,0.000162265,6.92E-05,6.92E-05,4.78E-05,4.78E-05,2.06E-05,1.98E-05,1.98E-05,1.09E-05,1.09E-05,1.11E-05,1.11E-05,5.78E-06,5.78E-06,5.89E-06,5.89E-06,3.14E-06,3.14E-06,3.28E-06,3.28E-06,3.27E-06,3.27E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.53E-07,9.53E-07,9.78E-07,9.74E-07,5.83E-07,5.83E-07,5.28E-07,3.94E-07,3.94E-07,4.04E-07,4.03E-07,2.24E-07,2.24E-07,1.74E-07,1.74E-07,1.70E-07,1.70E-07,1.56E-07,1.56E-07,1.14E-07
-0.007,0.571919853,0.168460835,0.168460835,0.050185506,0.011509225,0.011509225,0.00335075,0.00335075,0.003433526,0.003429854,0.001010458,0.001010458,0.000544987,0.000544987,0.000234981,0.000158693,0.000158693,0.000162553,0.000162382,6.93E-05,6.93E-05,4.78E-05,4.78E-05,2.06E-05,1.98E-05,1.98E-05,1.08E-05,1.08E-05,1.12E-05,1.11E-05,5.76E-06,5.76E-06,5.90E-06,5.89E-06,3.12E-06,3.12E-06,3.29E-06,3.29E-06,3.28E-06,3.28E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.51E-07,9.51E-07,9.80E-07,9.76E-07,5.83E-07,5.83E-07,5.28E-07,3.93E-07,3.93E-07,4.04E-07,4.03E-07,2.24E-07,2.24E-07,1.74E-07,1.74E-07,1.70E-07,1.70E-07,1.56E-07,1.56E-07,1.13E-07
-0.009,0.572149895,0.16833151,0.16833151,0.050250403,0.011502343,0.011502343,0.003333708,0.003333708,0.003439939,0.003435206,0.001010903,0.001010903,0.000544626,0.000544626,0.000235577,0.000157884,0.000157884,0.000162836,0.000162616,6.94E-05,6.94E-05,4.79E-05,4.79E-05,2.07E-05,1.98E-05,1.98E-05,1.08E-05,1.08E-05,1.12E-05,1.11E-05,5.73E-06,5.73E-06,5.91E-06,5.90E-06,3.07E-06,3.07E-06,3.29E-06,3.29E-06,3.28E-06,3.28E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.47E-07,9.47E-07,9.84E-07,9.79E-07,5.83E-07,5.83E-07,5.30E-07,3.91E-07,3.91E-07,4.06E-07,4.04E-07,2.25E-07,2.25E-07,1.74E-07,1.74E-07,1.69E-07,1.69E-07,1.56E-07,1.56E-07,1.12E-07
-0.011,0.572379634,0.168202253,0.168202253,0.050315324,0.011495444,0.011495444,0.003316753,0.003316753,0.003446354,0.003440555,0.001011345,0.001011345,0.000544264,0.000544264,0.000236173,0.000157079,0.000157079,0.000163119,0.00016285,6.95E-05,6.95E-05,4.79E-05,4.79E-05,2.08E-05,1.98E-05,1.98E-05,1.07E-05,1.07E-05,1.12E-05,1.12E-05,5.70E-06,5.70E-06,5.92E-06,5.91E-06,3.03E-06,3.03E-06,3.30E-06,3.30E-06,3.28E-06,3.28E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.43E-07,9.43E-07,9.88E-07,9.82E-07,5.82E-07,5.82E-07,5.32E-07,3.89E-07,3.89E-07,4.07E-07,4.05E-07,2.25E-07,2.25E-07,1.74E-07,1.74E-07,1.68E-07,1.68E-07,1.56E-07,1.56E-07,1.10E-07
-0.014,0.572723677,0.168008496,0.168008496,0.050412752,0.011485066,0.011485066,0.003291484,0.003291484,0.003455977,0.003448571,0.001012002,0.001012002,0.00054372,0.00054372,0.000237068,0.000155879,0.000155879,0.000163543,0.000163199,6.96E-05,6.96E-05,4.79E-05,4.79E-05,2.09E-05,1.97E-05,1.97E-05,1.06E-05,1.06E-05,1.13E-05,1.12E-05,5.66E-06,5.66E-06,5.93E-06,5.92E-06,2.98E-06,2.98E-06,3.31E-06,3.31E-06,3.29E-06,3.29E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.37E-07,9.37E-07,9.95E-07,9.87E-07,5.82E-07,5.82E-07,5.35E-07,3.86E-07,3.86E-07,4.08E-07,4.06E-07,2.26E-07,2.26E-07,1.75E-07,1.74E-07,1.67E-07,1.67E-07,1.57E-07,1.57E-07,1.08E-07
-0.017,0.573067046,0.16781489,0.16781489,0.050510238,0.011474651,0.011474651,0.003266407,0.003266407,0.003465604,0.003456578,0.001012652,0.001012652,0.000543174,0.000543174,0.000237966,0.00015469,0.00015469,0.000163966,0.000163547,6.98E-05,6.98E-05,4.79E-05,4.79E-05,2.10E-05,1.97E-05,1.97E-05,1.05E-05,1.05E-05,1.13E-05,1.12E-05,5.62E-06,5.62E-06,5.94E-06,5.93E-06,2.92E-06,2.92E-06,3.32E-06,3.32E-06,3.29E-06,3.29E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.31E-07,9.31E-07,1.00E-06,9.92E-07,5.81E-07,5.81E-07,5.37E-07,3.83E-07,3.83E-07,4.10E-07,4.07E-07,2.27E-07,2.27E-07,1.75E-07,1.75E-07,1.66E-07,1.66E-07,1.57E-07,1.57E-07,1.06E-07
-0.018,0.573181353,0.167750388,0.167750388,0.050542746,0.011471171,0.011471171,0.003258091,0.003258091,0.003468814,0.003459246,0.001012867,0.001012867,0.000542992,0.000542992,0.000238265,0.000154295,0.000154295,0.000164107,0.000163663,6.98E-05,6.98E-05,4.79E-05,4.79E-05,2.11E-05,1.97E-05,1.97E-05,1.05E-05,1.05E-05,1.13E-05,1.12E-05,5.60E-06,5.60E-06,5.95E-06,5.93E-06,2.90E-06,2.90E-06,3.33E-06,3.33E-06,3.29E-06,3.29E-06,3.27E-06,3.27E-06,1.74E-06,1.74E-06,9.29E-07,9.29E-07,1.00E-06,9.94E-07,5.81E-07,5.81E-07,5.38E-07,3.82E-07,3.82E-07,4.11E-07,4.07E-07,2.27E-07,2.27E-07,1.75E-07,1.75E-07,1.65E-07,1.65E-07,1.58E-07,1.58E-07,1.05E-07
