parameter,(50)[0],(51)[0],(49)[0],(52)[0],(48)[0],(51)[1],(49)[1],(50)[1],(50)[2],(52)[1],(48)[1],(51)[2],(49)[2],(50)[3],(53)[0],(47)[0],(50)[4],(52)[2],(48)[2],(49)[3],(51)[3],(49)[4],(51)[4],(52)[3],(48)[3],(50)[5],(50)[6],(49)[5],(51)[5],(53)[1],(47)[1],(50)[7],(50)[8],(48)[4],(52)[4],(49)[6],(51)[6],(49)[7],(51)[7],(52)[5],(48)[5],(51)[8],(49)[8],(50)[9],(47)[2],(53)[2],(53)[3],(47)[3],(50)[10],(51)[9],(49)[9],(54)[0],(46)[0],(50)[11],(50)[12],(48)[6],(52)[6],(51)[10],(49)[10],(49)[11],(51)[11],(52)[7],(48)[7],(52)[8]
0,0.245272905342444,0.201637434800568,0.201637401231429,0.111876538263719,0.111876497462967,0.003918404789113,0.00391840288443,0.004803552771315,0.000114512292216,0.002123149492726,0.002123147095778,9.2110760022047E-05,9.2110529667708E-05,7.41211130612912E-05,0.04172287685435,0.041722851600196,1.69723050569641E-05,4.78541000532225E-05,4.78537074913419E-05,6.22683258787044E-05,6.22684780868315E-05,1.31483702040007E-05,1.31484652821719E-05,3.6402115900231E-05,3.64019913583721E-05,3.44587315041012E-06,2.51041654530155E-06,2.79260635561773E-06,2.79260344561578E-06,0.000760271558267,0.000760269521941,8.14715406420232E-07,6.3013160867181E-07,6.172713561909E-06,6.17285819483144E-06,2.07703850245405E-06,2.07705544047427E-06,6.47571513595519E-07,6.47577220835966E-07,1.58033063828038E-06,1.58032531953528E-06,4.93997859446147E-07,4.93952218672636E-07,1.7620677053401E-07,1.59999678824288E-05,1.60004358113857E-05,1.43604209693429E-05,1.43603339302689E-05,8.81709844838888E-08,1.35880347431864E-07,1.35883072166516E-07,0.010388609136373,0.010388598801016,7.44932564458418E-08,6.53289502620448E-08,1.08295936160803E-06,1.08300155684273E-06,7.35801356493678E-08,7.3576079298031E-08,5.792620787376E-08,5.79302086528972E-08,3.31632292929189E-07,3.31622746978629E-07,2.37296452293151E-07
0.005,0.246067770556925,0.202032714847197,0.202032676348356,0.111665041677778,0.1116649922302,0.003930087154986,0.003930083586794,0.004824060633571,0.000114028332997,0.0021212296142,0.002121226025959,9.16117085819576E-05,9.16114004773422E-05,7.3826449042588E-05,0.041374903165646,0.041374872075733,1.65693342687082E-05,4.7420945989909E-05,4.74202968450093E-05,6.1935331333491E-05,6.19356096094709E-05,1.28256972537501E-05,1.28259314829523E-05,3.60630225350129E-05,3.60626424577542E-05,3.40305581779342E-06,2.48571257836773E-06,2.75182249400104E-06,2.75180211269965E-06,0.000754613054751,0.0007546103045,8.06739105003202E-07,6.24400249288817E-07,6.00565060187208E-06,6.00596024370216E-06,2.05432692782138E-06,2.05431799980991E-06,6.39272545280033E-07,6.39279486387117E-07,1.54793487053984E-06,1.54788261087731E-06,4.8904290673653E-07,4.89128160279504E-07,1.68240251233638E-07,1.57537122731013E-05,1.57548623754342E-05,1.4136482533003E-05,1.41362020675249E-05,8.70934533618126E-08,1.29970022296701E-07,1.29962982529281E-07,0.010207496856341,0.010207483132742,7.38037184437892E-08,0,1.06745461424927E-06,1.06753825534544E-06,7.26768607403565E-08,7.26524634265095E-08,0,0,3.24644914887413E-07,3.24615164848171E-07,0
0.01,0.246854398009025,0.202421411126727,0.202421395439772,0.111452413955478,0.111452394883563,0.003942376360041,0.003942375533064,0.004845332091402,0.000113609027959,0.002119655118703,0.002119654345321,9.11648673441376E-05,9.11647886416195E-05,7.35689828962618E-05,0.041030832350181,0.041030821562456,1.61723558026084E-05,4.70148115936135E-05,4.7014677759482E-05,6.16334910477211E-05,6.16335224410518E-05,1.25083971407338E-05,1.25084422712547E-05,3.57422767664699E-05,3.57422785746824E-05,3.35952580961497E-06,2.45985226653854E-06,2.70995934728797E-06,2.70993923571202E-06,0.000749133380604,0.000749132891361,7.98634882237495E-07,6.17561564001276E-07,5.84144740851056E-06,5.84150031868969E-06,2.0311865253689E-06,2.03118859353372E-06,6.30846448791416E-07,6.30845718765113E-07,1.51456247208756E-06,1.51458197394571E-06,4.82977249495751E-07,4.82972537435987E-07,1.606631990139E-07,1.55156257496551E-05,1.55157789033254E-05,1.39211716529491E-05,1.39211729224701E-05,8.50329026150429E-08,1.2424099743117E-07,1.24242554541283E-07,0.010030321486575,0.010030317600292,7.30741642200072E-08,6.28728257802595E-08,1.05199077865562E-06,1.05200422201794E-06,7.08644650721555E-08,7.0863423185475E-08,5.63614962667324E-08,5.63627891365519E-08,3.17600324989769E-07,3.17601726811569E-07,2.3012162466474E-07
0.015,0.247632775480759,0.202803568039532,0.202803528533875,0.111238714663895,0.111238667127022,0.003955235165672,0.003955232085536,0.004867303986156,0.000113257222525,0.002118427487398,0.002118424715938,9.07751520449293E-05,9.07748818339728E-05,7.33591839640188E-05,0.040690651623659,0.040690624610824,1.57842403868389E-05,4.66448143523864E-05,4.66442880618733E-05,6.137181228794E-05,6.13721274621733E-05,1.21998579124226E-05,1.22000690568481E-05,3.54474139143797E-05,3.5446992512025E-05,3.31904349188544E-06,2.43717803964108E-06,2.67119972849491E-06,2.67117842877151E-06,0.000743857145007,0.000743855126566,7.91126530039923E-07,6.12804938419337E-07,5.6846970315339E-06,5.68497334279233E-06,2.01048190285299E-06,2.01047120256394E-06,6.23004230976245E-07,6.23006852226935E-07,1.48367625876456E-06,1.48361524577259E-06,4.78779477016718E-07,4.78863085596139E-07,1.53535662491224E-07,1.52962753566581E-05,1.52973038436317E-05,1.37183551058891E-05,1.3718070077853E-05,8.40784563757396E-08,1.18987471128493E-07,1.189825798234E-07,0.009857026639937,0.009857016017634,7.2428456088312E-08,0,1.03803458596495E-06,1.03811931289867E-06,7.00296509623139E-08,7.00043856117099E-08,0,0,3.11045715910861E-07,3.11015352652567E-07,0
0.02,0.248403517837768,0.203179590487407,0.203179578831791,0.111024011235586,0.111023996345151,0.00396858864752,0.003968587662809,0.004889908321862,0.000112963366885,0.002117475732325,0.002117474494779,9.04318818684026E-05,9.04317584585697E-05,7.31830980121137E-05,0.040354210169935,0.040354200612619,1.54020399814045E-05,4.62985965630939E-05,4.62983423267754E-05,6.11382003980246E-05,6.11383214422714E-05,1.18965829321797E-05,1.18966360026794E-05,3.51686185149634E-05,3.51685159715887E-05,3.27812261086271E-06,2.41337547473083E-06,2.63163031729119E-06,2.63162731155553E-06,0.000738728573512,0.000738727490964,7.83484379662938E-07,6.07104030065268E-07,5.53076602147202E-06,5.53084780990232E-06,1.9893209729641E-06,1.98934012674377E-06,6.15036456945421E-07,6.15044402934336E-07,1.45196366468091E-06,1.45195434364848E-06,4.7362369235568E-07,4.73599339881244E-07,1.46756342812575E-07,1.50841651665595E-05,1.50844660166097E-05,1.35228283002055E-05,1.35227558588072E-05,8.21911710733317E-08,1.13881066879557E-07,1.13882127238079E-07,0.009687428598486,0.009687424195849,7.17461199075789E-08,6.05673083284299E-08,1.02412071057402E-06,1.02415514637104E-06,6.83637951207633E-08,6.83613677343074E-08,5.49369194418E-08,5.49401790474833E-08,3.04438294195462E-07,3.044293475604E-07,2.23756366105683E-07
0.025,0.249166619194212,0.203549542477588,0.203549504276673,0.110808376431179,0.110808332501633,0.003982403044928,0.003982400662692,0.00491308789341,0.000112729643056,0.002116800862539,0.002116798772903,9.01391749079786E-05,9.01389349627121E-05,7.30489814347544E-05,0.04002149885478,0.040021475704161,1.50281400191461E-05,4.5983829152314E-05,4.59834120451974E-05,6.09399514951862E-05,6.09402265593048E-05,1.16013607812016E-05,1.16015572183161E-05,3.49124200149082E-05,3.49120323681985E-05,3.23988772347162E-06,2.39234774510936E-06,2.59480514261997E-06,2.59478864506617E-06,0.000733768818688,0.000733767314546,7.76329602832045E-07,6.03192240064123E-07,5.38350168209609E-06,5.38372608664101E-06,1.97032633447577E-06,1.97031623258334E-06,6.07554373329726E-07,6.0755342518789E-07,1.42242463684687E-06,1.42236561653721E-06,4.70062192865689E-07,4.70138785893025E-07,1.40376659615335E-07,1.48885646735358E-05,1.48894463080985E-05,1.33381541825659E-05,1.3337893714583E-05,8.1371954374509E-08,1.09220904913545E-07,1.09220897413242E-07,0.00952147289155,0.009521464309881,7.11404574844695E-08,0,1.01159073152864E-06,1.01167758334414E-06,6.75983167468865E-08,6.75742052418179E-08,0,0,2.98239632049412E-07,2.98207141660135E-07,0
0.03,0.249922597307821,0.203913756263094,0.203913741755296,0.110591863079346,0.110591845416413,0.003996622241789,0.003996621113009,0.004936793268476,0.000112548034792,0.002116347379859,0.002116346103155,8.98880469123527E-05,8.98879280705516E-05,7.29459640176473E-05,0.039692389899292,0.039692379296378,1.46602024360884E-05,4.56901364482805E-05,4.56898925827655E-05,6.0767329202442E-05,6.0767484344556E-05,1.13113714587975E-05,1.13114269826227E-05,3.46706920263401E-05,3.46705627392802E-05,3.20151860328627E-06,2.37024327789003E-06,2.55746349809128E-06,2.55747340053532E-06,0.000728932849603,0.000728931814116,7.69022857719391E-07,5.9846633859697E-07,5.23898678972727E-06,5.23905992503689E-06,1.95086121513129E-06,1.95088141350024E-06,5.99937899218397E-07,5.99941412173788E-07,1.39225653841754E-06,1.3922415549579E-06,4.65681197007086E-07,4.65653316388633E-07,1.34312452898537E-07,1.46992142116705E-05,1.46994893753163E-05,1.31597984809336E-05,1.31597228348269E-05,7.96519118533508E-08,1.04678843459599E-07,1.04680562033792E-07,0.009359001286646,0.009358996928131,7.05009295406456E-08,5.83973461177684E-08,9.990929999574E-07,9.99116367340647E-07,6.60673610428698E-08,6.60633646853345E-08,5.36325745070822E-08,5.36362504948151E-08,2.91990513848474E-07,2.91987436216615E-07,2.18041302025308E-07
0.035,0.250671452063194,0.204272295315307,0.204272259245625,0.110374536927387,0.110374495927386,0.004011215508626,0.004011212827561,0.004960973394302,0.000112420171708,0.002116115156388,0.002116112843992,8.96817673882008E-05,8.96815404984358E-05,7.28805292221549E-05,0.039366868211222,0.039366846963779,1.43002013843069E-05,4.54239741777238E-05,4.54235588297006E-05,6.06261608567584E-05,6.06264990966346E-05,1.10289165173632E-05,1.10291046518978E-05,3.44488507160408E-05,3.4448449193875E-05,3.16556957400587E-06,2.35062117295629E-06,2.52257387316558E-06,2.52256107956284E-06,0.000724238240974,0.000724236470466,7.62126355676814E-07,5.95307956964798E-07,5.1004833358193E-06,5.10067984049463E-06,1.93333281267338E-06,1.93331639961216E-06,5.92724109214447E-07,5.92721446712756E-07,1.36398722673236E-06,1.36392700001718E-06,4.62693504635324E-07,4.6275967067596E-07,1.28598344393217E-07,1.45241110667045E-05,1.45249964801472E-05,1.29909594155857E-05,1.29907173686626E-05,7.89733198581182E-08,1.00553701785041E-07,1.0055414441842E-07,0.009199959630116,0.009199951080807,6.99281243440257E-08,0,9.87831018254324E-07,9.87926769383557E-07,6.53661442881819E-08,6.53420063230844E-08,0,0,2.86100791799645E-07,2.86068416869288E-07,0
0.04,0.251413626824747,0.204625445433905,0.204625433625862,0.110156446182324,0.11015643249348,0.004026136035381,0.004026135252366,0.00498558834826,0.000112339026519,0.002116057508211,0.002116056788495,8.9512490486854E-05,8.95124330824747E-05,7.28426902742314E-05,0.039044824095161,0.039044816525512,1.39461936290139E-05,4.51761445431423E-05,4.5175983734507E-05,6.05078742584635E-05,6.05079756148111E-05,1.07516341682204E-05,1.07516610941798E-05,3.42397210493489E-05,3.42396407912834E-05,3.12965048631093E-06,2.32976182038046E-06,2.48735285052147E-06,2.48735516083589E-06,0.000719646804637,0.000719646181885,7.55039123179923E-07,5.91400098603909E-07,4.96462603344183E-06,4.96467101955596E-06,1.91518957874333E-06,1.91520566861058E-06,5.8535420449887E-07,5.8536158353608E-07,1.33519161905146E-06,1.33518414872119E-06,4.58937863681777E-07,4.5892705724688E-07,1.23166919253863E-07,1.43545923126481E-05,1.4354802365844E-05,1.28275934451837E-05,1.28275485855469E-05,7.73815827122194E-08,9.65156845884512E-08,9.65164649579092E-08,0.009044207329426,0.009044204290138,6.93217498524057E-08,5.63551392872558E-08,9.76601922641763E-07,9.76621986355545E-07,6.39266217582397E-08,6.39236330374609E-08,5.24264069787203E-08,5.24309684675088E-08,2.80159725268247E-07,2.80156182233623E-07,2.12872647203053E-07
0.045,0.252149126209518,0.204973267813098,0.204973237890457,0.109937652742359,0.109937618441208,0.004041362281263,0.004041359761616,0.005010598305101,0.000112306216379,0.00211617737924,0.002116175432037,8.93833034993698E-05,8.93831131631487E-05,7.28399551105013E-05,0.03872624126565,0.038726223971736,1.35999532706921E-05,4.49525413658478E-05,4.49521947478571E-05,6.04185970119169E-05,6.04188886412885E-05,1.04815373745768E-05,1.04817098395989E-05,3.40486875812419E-05,3.4048317454522E-05,3.09610017283753E-06,2.31130233684302E-06,2.45449131215645E-06,2.45448924070619E-06,0.000715174646851,0.000715173299852,7.48311769380159E-07,5.88938632621259E-07,4.83423254631522E-06,4.83441082845004E-06,1.89888905607498E-06,1.89886134002913E-06,5.78340434385385E-07,5.78334272029118E-07,1.30817729673921E-06,1.30813314750957E-06,4.5647451042069E-07,4.56547121133454E-07,1.1805287398294E-07,1.41972407638358E-05,1.41980038264823E-05,1.26727453473612E-05,1.26725056625619E-05,7.68547183637262E-08,9.28937366085918E-08,9.28933071196528E-08,0.008891692679829,0.008891685911418,6.87813271016566E-08,0,9.66486722389218E-07,9.66571932771545E-07,6.32855356459352E-08,6.32642951235513E-08,0,0,2.74539595577538E-07,2.7450975251875E-07,0
