parameter,(16)[0],(15)[0],(17)[0],(18)[0],(14)[0],(17)[1],(15)[1],(16)[1],(16)[2],(18)[1],(14)[1],(17)[2],(15)[2],(16)[3],(19)[0],(13)[0],(16)[4],(15)[3],(17)[3],(18)[2],(14)[2],(18)[3],(14)[3],(17)[4],(15)[4],(16)[5],(15)[5],(17)[5],(19)[1],(13)[1],(16)[6],(16)[7],(16)[8],(17)[6],(15)[6],(18)[4],(14)[4],(17)[7],(15)[7],(18)[5],(14)[5],(19)[2],(13)[2],(17)[8],(15)[8],(20)[0],(12)[0],(16)[9],(17)[9],(15)[9],(19)[3],(13)[3],(16)[10],(16)[11],(18)[6],(14)[6],(17)[10],(15)[10],(16)[12],(17)[11],(15)[11],(18)[7],(14)[7],(17)[12]
4.99,0.797966969501435,0.098600818911119,0.098600818910408,0.001160486498719,0.00116048649838,0.001047797678439,0.001047797678032,0.000308146945343,5.1628235423395E-05,1.45148123473638E-05,1.45148122513677E-05,9.65810652358216E-06,9.65810647902373E-06,2.19865268516466E-06,1.44304386811513E-06,1.44304385793509E-06,5.19198579931521E-07,1.73546059346121E-07,1.7354605838187E-07,1.38164615061761E-07,1.38164604856842E-07,1.14755778289734E-07,1.14755776968683E-07,5.54281024885732E-08,5.54280811216974E-08,3.15663042724729E-08,2.17299342442991E-08,2.17299334230182E-08,1.59576461823195E-08,1.59576413402108E-08,1.13643595617511E-08,5.15663170652738E-09,2.84847540030471E-09,1.41023846142824E-09,1.4102366779559E-09,8.27246606525277E-10,8.27245541938975E-10,7.58959061437081E-10,7.58958674645395E-10,6.27158397290988E-10,6.27155235415191E-10,2.074021865556E-10,2.07402184864433E-10,1.88813751737014E-10,1.88809421187546E-10,1.79935716370488E-10,1.7993457719619E-10,1.38165626553735E-10,1.22805126242607E-10,1.22804421369372E-10,1.16746822456179E-10,1.16745838112668E-10,4.94572367910255E-11,4.27435913113737E-11,1.78000581661829E-11,1.77989696006261E-11,1.71885110221895E-11,1.71875243989021E-11,1.00025354999017E-11,9.2814757419449E-12,9.28039051463447E-12,9.08780365646543E-12,9.08718334878545E-12,3.96222523801322E-12
4.98,0.796969027818326,0.09906294979391,0.099062949794248,0.001179008039556,0.001179008039245,0.001061912272383,0.001061912272028,0.000314428875971,5.25851965204052E-05,1.48323074103494E-05,1.48323073340888E-05,9.82852647331451E-06,9.82852643351718E-06,2.25550412002457E-06,1.48913478795907E-06,1.4891347790286E-06,5.30295104678517E-07,1.79410683635692E-07,1.79410682134338E-07,1.41667458114812E-07,1.4166744484163E-07,1.18390917343811E-07,1.18390917048863E-07,5.6443489959275E-08,5.64434728245138E-08,3.26108092376531E-08,2.25947831197542E-08,2.25947821874226E-08,1.65322017329937E-08,1.65321964804702E-08,1.16696432791357E-08,5.30542225720133E-09,2.91179898296069E-09,1.46089532089476E-09,1.46089351806354E-09,8.54793736583421E-10,8.54793039637186E-10,7.86327434582552E-10,7.86327046107632E-10,6.43103248228167E-10,6.43100969287136E-10,2.16291283521858E-10,2.16291287630812E-10,1.92171227483829E-10,1.92168184404115E-10,1.89368986453932E-10,1.8936776905298E-10,1.42876231428884E-10,1.27956547028226E-10,1.27955807361978E-10,1.20892412076978E-10,1.20891402016578E-10,5.07457860426907E-11,4.39140737206283E-11,1.87083933751865E-11,1.87072229551448E-11,1.78734868456185E-11,1.78724562271371E-11,1.02217078189401E-11,9.59932267395395E-12,9.59818869271144E-12,9.45441003010467E-12,9.45376890130131E-12,4.10345285183212E-12
4.97,0.795964061279682,0.099527999616143,0.099527999616628,0.001197859344458,0.001197859344148,0.00107620377833,0.001076203777793,0.000320844298278,5.35590314856441E-05,1.51564719517203E-05,1.51564718749724E-05,1.00011118833146E-05,1.00011118128551E-05,2.31372251113589E-06,1.5367591343455E-06,1.53675912614834E-06,5.41578417943939E-07,1.85476997902402E-07,1.85476997705898E-07,1.45272276507768E-07,1.45272262505107E-07,1.22115248829983E-07,1.22115247992994E-07,5.74694137578568E-08,5.74693937218422E-08,3.36875836296586E-08,2.34933662509925E-08,2.34933651354738E-08,1.71270823512626E-08,1.71270767498235E-08,1.19819848411753E-08,5.45807351275739E-09,2.97602373838218E-09,1.51332012145908E-09,1.5133179379229E-09,8.83335121490025E-10,8.83334385239879E-10,8.14598862553852E-10,8.14596387511429E-10,6.59264046398577E-10,6.59261257127086E-10,2.25546982374635E-10,2.25546932148287E-10,1.95562292383907E-10,1.95558992569405E-10,1.99303478865632E-10,1.9930217692561E-10,1.47733849119011E-10,1.33314201439127E-10,1.33313329368591E-10,1.25177686299806E-10,1.2517662647616E-10,5.20623779394996E-11,4.51136661619188E-11,1.96624896878007E-11,1.96612388951619E-11,1.85841735230842E-11,1.85831148161106E-11,1.04447632505941E-11,9.92751681939105E-12,9.92622164669234E-12,9.83424432922213E-12,9.83357070671496E-12,4.24932403089712E-12
4.96,0.794952031315649,0.099995979399203,0.099995979400102,0.001217046269596,0.001217046269278,0.00109067299967,0.001090672999335,0.000327395857957,5.45499342537205E-05,1.54874183653419E-05,1.54874182939954E-05,1.01758551380243E-05,1.01758551101614E-05,2.37333441048165E-06,1.58596811082289E-06,1.58596810195421E-06,5.53049352816507E-07,1.91751653564539E-07,1.91751653913781E-07,1.48985201138923E-07,1.48985186919774E-07,1.25927106138108E-07,1.25927105285522E-07,5.85057310220696E-08,5.85057117025241E-08,3.47974435369289E-08,2.44269097449004E-08,2.4426908668237E-08,1.77429676573601E-08,1.77429616872468E-08,1.2301494124655E-08,5.61464212470013E-09,3.04114548860239E-09,1.56756746726976E-09,1.56756497074091E-09,9.12893405695562E-10,9.12892760874208E-10,8.43792982446509E-10,8.43790849086855E-10,6.75642060185514E-10,6.75639138304921E-10,2.35183106464842E-10,2.35183046227961E-10,1.98983705468295E-10,1.98980327784281E-10,2.09765773912059E-10,2.09764379678745E-10,1.52740110406626E-10,1.3888491486272E-10,1.38884015490833E-10,1.2960688608457E-10,1.29605771977683E-10,5.34056506052367E-11,4.63383198608617E-11,2.06645497189779E-11,2.0663208535559E-11,1.93212010962132E-11,1.93200004568854E-11,1.06715525052623E-11,1.02659945203424E-11,1.02647248028178E-11,1.02276314346325E-11,1.02269225883179E-11,4.39968441261153E-12
4.95,0.793932900159857,0.100466899733844,0.100466899734738,0.001236574750224,0.001236574749849,0.00110532067406,0.001105320673726,0.000334086236007,5.55580951941102E-05,1.5825259591901E-05,1.58252595069926E-05,1.03527473082061E-05,1.0352747283862E-05,2.434366623299E-06,1.63681454592865E-06,1.63681453458365E-06,5.64708660168723E-07,1.98241501482434E-07,1.98241501507495E-07,1.52813042143579E-07,1.52813025879207E-07,1.29824225366069E-07,1.2982422400539E-07,5.95523191272075E-08,5.955230020421E-08,3.59412221977621E-08,2.53966791905073E-08,2.53966786259049E-08,1.83805594059672E-08,1.83805519403497E-08,1.26282987582729E-08,5.7751973809824E-09,3.10716143922606E-09,1.62369785912102E-09,1.62369600423239E-09,9.4349630878456E-10,9.43494963902358E-10,8.73936576336361E-10,8.73934963974437E-10,6.92242954748748E-10,6.92240338800174E-10,2.45214364901914E-10,2.45214080279103E-10,2.02438703622554E-10,2.02435002679249E-10,2.20783862707726E-10,2.20782353227808E-10,1.57900837326604E-10,1.44676958970707E-10,1.44675722935646E-10,1.34185346526706E-10,1.34183460768744E-10,5.47775860160134E-11,4.75907552601166E-11,2.17169483923072E-11,2.17154726484942E-11,2.00855801455977E-11,2.00850507790278E-11,1.09024532250731E-11,1.06158666110716E-11,1.06145380563892E-11,1.06350836213079E-11,1.06343379895875E-11,4.55485787533617E-12
4.94,0.792906630896635,0.100940770760022,0.10094077076091,0.001256450800043,0.001256450799653,0.001120147468983,0.001120147468652,0.000340918148253,5.65837006522051E-05,1.6170108973555E-05,1.61701088777138E-05,1.05317778194598E-05,1.05317777840261E-05,2.49684612620545E-06,1.68935292917359E-06,1.68935291934892E-06,5.76556955350084E-07,2.04953583615702E-07,2.04953583346241E-07,1.56763287083276E-07,1.56763272563743E-07,1.33803712701744E-07,1.33803711118782E-07,6.06090254290508E-08,6.06090052721712E-08,3.71197562746815E-08,2.64039785377675E-08,2.64039758490737E-08,1.90405745887343E-08,1.9040571162098E-08,1.29625121317171E-08,5.93979820248115E-09,3.17406729051146E-09,1.6817682146222E-09,1.68176628941021E-09,9.75167722298499E-10,9.75167696487212E-10,9.05052257047245E-10,9.05050736922937E-10,7.0907089160957E-10,7.09068236488749E-10,2.55654825733768E-10,2.55655532098778E-10,2.05924708394583E-10,2.05922683708713E-10,2.32387073865892E-10,2.32385567698446E-10,1.63216676226645E-10,1.50697232319994E-10,1.50696211794661E-10,1.38915722221797E-10,1.38915586839447E-10,5.61778099473824E-11,4.88691922291272E-11,2.28219618384193E-11,2.2820440416135E-11,2.08777887081748E-11,2.08772248831361E-11,1.11374228608747E-11,1.09759305992351E-11,1.09758266295596E-11,1.1056750253152E-11,1.10560610978244E-11,4.71471936481713E-12
4.93,0.791873187508273,0.101417602147276,0.101417602147573,0.001276680510784,0.001276680510424,0.001135153979684,0.001135153979419,0.000347894344886,5.76269326644779E-05,1.65220802561152E-05,1.6522080172109E-05,1.0712934680823E-05,1.071293466645E-05,2.56080017704323E-06,1.74363946847719E-06,1.74363945846168E-06,5.88594782191263E-07,2.11895150632296E-07,2.11895149940678E-07,1.608441281582E-07,1.60844113500872E-07,1.37862057527836E-07,1.37862057251222E-07,6.167571463316E-08,6.16756977619129E-08,3.83339014546238E-08,2.74501457456911E-08,2.74501437685949E-08,1.97237591468067E-08,1.97237542209896E-08,1.33042650855285E-08,6.10851002680727E-09,3.24185999299372E-09,1.74184253246181E-09,1.74184062613278E-09,1.00793550084371E-09,1.00793524003151E-09,9.37165700621618E-10,9.37163493243684E-10,7.26130802017069E-10,7.26128343050559E-10,2.66520474935011E-10,2.66520824785391E-10,2.09445758387267E-10,2.09442806637838E-10,2.44606438909432E-10,2.44604800355532E-10,1.68693610043801E-10,1.56954366290662E-10,1.56952984011242E-10,1.43805007288185E-10,1.43804007115731E-10,5.76068047946877E-11,5.01747271731316E-11,2.39823024221675E-11,2.39806314620722E-11,2.16990594313455E-11,2.16986747285642E-11,1.13766807332382E-11,1.13481755185631E-11,1.13477849606109E-11,1.14932650765275E-11,1.14924938020897E-11,4.87952950072789E-12
4.92,0.790832534928055,0.101897403072549,0.101897403072896,0.001297270051588,0.00129727005119,0.001150340725376,0.001150340725121,0.000355017609595,5.8687968518918E-05,1.688128752664E-05,1.68812874357703E-05,1.08962042433553E-05,1.08962042409939E-05,2.62625610332476E-06,1.79973212585682E-06,1.79973212029156E-06,6.00822561125443E-07,2.19073648630635E-07,2.19073647427211E-07,1.65064391942114E-07,1.65064375146217E-07,1.41995170225001E-07,1.41995170275331E-07,6.27522085937418E-08,6.27521911877559E-08,3.95845023840483E-08,2.85365655621498E-08,2.85365630589902E-08,2.04308748121332E-08,2.04308699525625E-08,1.36536687040351E-08,6.28139296378749E-09,3.31053245621148E-09,1.80398175068416E-09,1.80397980687904E-09,1.04182577783348E-09,1.04182505013641E-09,9.70301017236192E-10,9.70298680397226E-10,7.43424845534072E-10,7.43422208198727E-10,2.77826729036653E-10,2.77827221454396E-10,2.12998764989438E-10,2.12996120104719E-10,2.5747443785043E-10,2.5747269264804E-10,1.74334194190128E-10,1.63455963158048E-10,1.63454564456667E-10,1.48856625808263E-10,1.4885597855766E-10,5.90650743726348E-11,5.15087985340765E-11,2.52004798718803E-11,2.51986828453016E-11,2.25500720487113E-11,2.25496625539084E-11,1.16202090858406E-11,1.17316681733756E-11,1.17312742609751E-11,1.19449096593318E-11,1.1944077608108E-11,5.04940067450741E-12
4.91,0.789784639091165,0.102380182200111,0.102380182200581,0.001318225667936,0.001318225667621,0.001165708146164,0.001165708145986,0.000362290759154,5.97669804716898E-05,1.72478450674699E-05,1.72478449806895E-05,1.10815714291182E-05,1.10815713871978E-05,2.69324151363299E-06,1.85769066535116E-06,1.85769065887286E-06,6.13240599902356E-07,2.26496740698051E-07,2.26496738972094E-07,1.69433454035817E-07,1.69433433856851E-07,1.46198479332338E-07,1.46198476942885E-07,6.38383642506207E-08,6.38383482090447E-08,4.08724293938162E-08,2.96646553853873E-08,2.96646529696513E-08,2.11627052892463E-08,2.11627001090349E-08,1.40108448042401E-08,6.45851524656983E-09,3.38007994682119E-09,1.86825101737215E-09,1.86824924062919E-09,1.0768654963779E-09,1.0768650577919E-09,1.00448446197261E-09,1.00448376593909E-09,7.60958546139128E-10,7.60956247733009E-10,2.89589114170355E-10,2.89589636961023E-10,2.16584828847827E-10,2.16582639652148E-10,2.71025231030918E-10,2.71023359456094E-10,1.80142097934121E-10,1.70209879667242E-10,1.70208548658942E-10,1.54075077873138E-10,1.54074408936514E-10,6.0552335713304E-11,5.28759651712769E-11,2.64792858251653E-11,2.64773614149012E-11,2.34319153225567E-11,2.34320587028437E-11,1.18680663580982E-11,1.21272033331402E-11,1.21271437595422E-11,1.24120692962494E-11,1.24112058777835E-11,5.22474676315781E-12
4.9,0.788729466988311,0.102865947658627,0.102865947658978,0.001339553681446,0.001339553681101,0.001181256600267,0.001181256600091,0.000369716642448,6.08641352032427E-05,1.76218673776063E-05,1.76218672837489E-05,1.12690193109285E-05,1.12690192945605E-05,2.761784148429E-06,1.91757669984986E-06,1.91757669237982E-06,6.25849071524424E-07,2.34172297044162E-07,2.34172294962666E-07,1.73961095059271E-07,1.73961075289048E-07,1.50467064962026E-07,1.50467063539273E-07,6.4933980988163E-08,6.49339755621652E-08,4.21985519900072E-08,3.08358781032397E-08,3.08358754499082E-08,2.19200608055261E-08,2.1920055071078E-08,1.43759184627902E-08,6.63992068705376E-09,3.45049469148444E-09,1.93471659440873E-09,1.93471469923177E-09,1.11308306976792E-09,1.11308273957339E-09,1.03973910403894E-09,1.0397382483648E-09,7.78733696409473E-10,7.78731712394149E-10,3.01824900375371E-10,3.01825424999279E-10,2.20203069769159E-10,2.20201475263402E-10,2.85294808691627E-10,2.85292798027785E-10,1.86121213360896E-10,1.77224014884288E-10,1.77222628884184E-10,1.59466108738712E-10,1.59465439628865E-10,6.2069855191748E-11,5.42676947182264E-11,2.78215886445276E-11,2.78195307111629E-11,2.43457114210968E-11,2.43454833140766E-11,1.21204029459646E-11,1.25351964827775E-11,1.25349844925098E-11,1.28951442095248E-11,1.28942723252569E-11,5.40521924305749E-12
