parameter,"(8,8)[0]","(9,8)[0]","(8,9)[0]","(7,8)[0]","(8,7)[0]","(9,9)[0]","(9,7)[0]","(7,9)[0]","(7,7)[0]","(8,8)[1]","(8,8)[2]","(9,8)[1]","(8,9)[1]","(7,8)[1]","(8,7)[1]","(8,9)[2]","(9,8)[2]","(8,7)[2]","(7,8)[2]","(10,8)[0]","(8,10)[0]","(8,6)[0]","(6,8)[0]","(9,9)[1]","(9,9)[2]","(7,9)[1]","(9,7)[1]","(7,7)[1]","(9,7)[2]","(7,9)[2]","(7,7)[2]","(9,10)[0]","(10,9)[0]","(7,10)[0]","(10,7)[0]","(9,6)[0]","(6,9)[0]","(6,7)[0]","(7,6)[0]","(8,8)[3]","(8,8)[4]","(8,8)[5]","(8,8)[6]","(8,8)[7]","(8,9)[3]","(9,8)[3]","(8,7)[3]","(7,8)[3]","(8,9)[4]","(9,8)[4]","(8,7)[4]","(7,8)[4]","(9,8)[5]","(8,9)[5]","(7,8)[5]","(8,7)[5]","(8,9)[6]","(9,8)[6]","(8,7)[6]","(7,8)[6]"
-0.002771,0.224506862,0.094814422,0.09481174,0.094593787,0.094591655,0.040004476,0.039837982,0.039837874,0.039803199,0.023675151,0.023661985,0.009940796,0.009939217,0.009912061,0.009910529,0.008358174,0.008356633,0.008318,0.008316563,0.006156696,0.006156631,0.006107568,0.006107549,0.003505555,0.003499146,0.003489101,0.003488344,0.003478624,0.003477929,0.003477287,0.003467562,0.002579485,0.002579406,0.002563852,0.002563789,0.002549884,0.00254986,0.002548877,0.002548847,0.002457949,0.001949302,0.001930913,0.001901864,0.001897823,0.000857784,0.000857549,0.000852245,0.000852069,0.000842596,0.00084226,0.000837398,0.000837056,0.000805876,0.000804947,0.000802614,0.000801717,0.000790289,0.000790042,0.000787253,0.000787227
-0.003974,0.224511598,0.094813623,0.094810744,0.094593071,0.09459227,0.040013294,0.039826595,0.039826072,0.039813213,0.023675703,0.023658791,0.009939676,0.00993846,0.009911172,0.009910316,0.008359488,0.00835845,0.008318372,0.008316639,0.006157037,0.00615755,0.006107853,0.006107265,0.003506794,0.003500646,0.003488579,0.003487985,0.003479375,0.003477391,0.003476663,0.003468245,0.002580982,0.002580831,0.002562701,0.002562397,0.002548743,0.002548619,0.002549963,0.002550135,0.002457682,0.001949378,0.001931223,0.001902203,0.001897679,0.000857788,0.000857612,0.000852264,0.000852017,0.000842622,0.000842248,0.000837384,0.000836909,0.000805884,0.000805093,0.000802621,0.000801826,0.000790312,0.000790104,0.000787182,0.000787318
-0.004955,0.224511686,0.094813927,0.094811021,0.094592697,0.094591808,0.040021894,0.03981825,0.039817738,0.039821204,0.02367743,0.023657076,0.009939718,0.00993852,0.009911138,0.009910298,0.008359549,0.008358543,0.008318316,0.008316613,0.006157085,0.006157574,0.006107772,0.006107214,0.003507351,0.003501197,0.003488078,0.003487495,0.003479853,0.003476862,0.003476141,0.00346874,0.002581954,0.00258181,0.00256176,0.002561462,0.002547779,0.002547664,0.002550875,0.002551042,0.002457697,0.001949368,0.001931247,0.001902342,0.001897545,0.000857793,0.000857628,0.000852262,0.000852024,0.000842616,0.000842261,0.000837369,0.000836912,0.000805881,0.000805099,0.000802625,0.00080184,0.000790322,0.000790105,0.000787174,0.000787304
-0.006527,0.224512659,0.094811597,0.094812145,0.094592689,0.09459306,0.040034655,0.039804212,0.03980495,0.039834902,0.023680292,0.023654093,0.009937837,0.009940186,0.009909977,0.009911464,0.008358337,0.008359679,0.008316717,0.008318267,0.006157133,0.006157371,0.0061073,0.006107736,0.003508169,0.003501977,0.003486677,0.00348725,0.0034807,0.003475358,0.003475957,0.003469603,0.002583359,0.002583368,0.002560156,0.002559995,0.002546178,0.002546236,0.002552553,0.002552431,0.002457685,0.001949365,0.001931272,0.001902547,0.001897305,0.000857594,0.000857832,0.000852073,0.000852235,0.000842297,0.000842574,0.000836893,0.000837375,0.00080505,0.000805919,0.000801859,0.000802646,0.000790104,0.000790309,0.000787251,0.000787182
-0.01089,0.224513633,0.094811819,0.094811212,0.094596061,0.094590528,0.040071556,0.039766534,0.039768628,0.039872153,0.023687782,0.023646493,0.009938719,0.009939165,0.009910703,0.009910769,0.008358991,0.008358785,0.008317402,0.008317637,0.006157387,0.006156753,0.006107018,0.006108069,0.003510383,0.003504312,0.003484815,0.003484558,0.003483025,0.003473406,0.003473266,0.00347194,0.002587531,0.002587564,0.002555843,0.002555786,0.002541875,0.002542204,0.002556793,0.002556638,0.002457684,0.001949311,0.001931289,0.001903107,0.001896658,0.000857718,0.000857739,0.000852141,0.000852257,0.000842229,0.000842568,0.000836888,0.000837319,0.000805662,0.000805275,0.000802468,0.000802104,0.000790434,0.000789986,0.000787195,0.000787099
-0.01608,0.224515004,0.094812524,0.094810069,0.094594316,0.094591785,0.040115564,0.039723968,0.039723016,0.039915968,0.023696864,0.023637297,0.009939658,0.009938215,0.00991101,0.009910428,0.00835898,0.008358886,0.008317853,0.008317256,0.006157508,0.006156426,0.006107272,0.006107601,0.003513158,0.003507051,0.003482097,0.003481995,0.003485751,0.003470775,0.003470372,0.003474693,0.002592468,0.002592682,0.002550589,0.002551005,0.002537007,0.002537082,0.002561663,0.002561701,0.002457723,0.001949289,0.001931345,0.001903792,0.001895947,0.000857741,0.000857831,0.000852218,0.000852299,0.000842213,0.000842514,0.000837036,0.000837095,0.000805737,0.000805203,0.000802591,0.000802124,0.000790411,0.000789987,0.000787126,0.000787022
-0.01898,0.22451539,0.094810831,0.094812619,0.094593323,0.094591435,0.040140827,0.039698797,0.039699066,0.039940213,0.023701776,0.02363182,0.00993899,0.009938834,0.009910279,0.009910899,0.008359207,0.008359114,0.008317675,0.008317606,0.006157198,0.006156917,0.00610723,0.006107339,0.003514831,0.00350877,0.003480696,0.003480574,0.003487416,0.003469094,0.003469195,0.003476378,0.002595485,0.002595453,0.002547981,0.002548078,0.002534196,0.002534277,0.00256438,0.002564485,0.002457671,0.001949234,0.00193148,0.001904148,0.001895523,0.000857815,0.00085781,0.000852272,0.000852308,0.00084221,0.00084246,0.000836971,0.000837061,0.000805576,0.000805505,0.000802587,0.000802454,0.000790332,0.00079004,0.000787009,0.000787058
-0.01904,0.224515146,0.094810956,0.094812693,0.094593317,0.094591399,0.04014153,0.03969835,0.039698614,0.039940712,0.023701961,0.023631808,0.009939063,0.00993891,0.009910298,0.00991092,0.008359147,0.008359043,0.008317628,0.008317548,0.006157162,0.006156878,0.006107202,0.006107312,0.003514868,0.003508773,0.003480662,0.003480536,0.003487429,0.003469041,0.003469137,0.003476395,0.002595548,0.002595515,0.00254792,0.002548017,0.002534129,0.002534209,0.002564428,0.002564533,0.002457686,0.001949211,0.001931461,0.001904143,0.001895511,0.000857822,0.000857815,0.00085227,0.000852305,0.000842206,0.000842457,0.000836969,0.00083706,0.000805571,0.000805497,0.000802584,0.000802448,0.000790332,0.000790041,0.000787008,0.000787056
-0.03749,0.224519561,0.094813505,0.094811405,0.094588859,0.094589013,0.040301209,0.039542819,0.039541921,0.040096545,0.023734118,0.023598812,0.009938558,0.009940894,0.00990972,0.009912286,0.008359363,0.008357992,0.008318022,0.008316974,0.006156406,0.006157401,0.006107008,0.006105732,0.003524681,0.00351885,0.003470956,0.003469617,0.00349712,0.003458644,0.003459068,0.003485836,0.002613994,0.002613778,0.00253045,0.002529939,0.002516648,0.002516114,0.002581808,0.002582341,0.002457905,0.001948906,0.001931528,0.001906879,0.001892915,0.000858168,0.000857875,0.000852666,0.000852394,0.000842122,0.000842104,0.000836828,0.000836659,0.000805691,0.000805689,0.000802828,0.000802674,0.000790222,0.000790428,0.000786544,0.000786826
-0.04464,0.224521967,0.094813997,0.094807133,0.094583805,0.094595133,0.040361313,0.039486194,0.039477418,0.040158411,0.023746748,0.023586493,0.009939805,0.009939841,0.009909898,0.00991277,0.008357194,0.008359564,0.008318088,0.008317196,0.006157173,0.006155445,0.006107235,0.00610535,0.003528393,0.003522431,0.003465372,0.003467755,0.003500995,0.003455642,0.003454238,0.003489664,0.002620508,0.002620904,0.002522474,0.002523894,0.002510058,0.002509062,0.002588803,0.002589343,0.002458108,0.001948842,0.00193158,0.001907803,0.001891914,0.000858047,0.000858309,0.000852791,0.000852657,0.000841809,0.000842099,0.000836711,0.000836549,0.000805725,0.000805769,0.000802682,0.00080309,0.000790072,0.000790349,0.000786505,0.000786535
