parameter,(32)[0],(31)[0],(33)[0],(34)[0],(30)[0],(33)[1],(31)[1],(32)[1],(32)[2],(34)[1],(30)[1],(33)[2],(31)[2],(32)[3],(35)[0],(29)[0],(32)[4],(34)[2],(30)[2],(33)[3],(31)[3],(33)[4],(31)[4],(34)[3],(30)[3],(32)[5],(32)[6],(33)[5],(31)[5],(35)[1],(29)[1],(32)[7],(32)[8],(34)[4],(30)[4],(33)[6],(31)[6],(34)[5],(30)[5],(33)[7],(31)[7],(33)[8],(31)[8],(32)[9],(35)[2],(29)[2],(35)[3],(29)[3],(32)[10],(33)[9],(31)[9],(36)[0],(28)[0],(32)[11],(32)[12],(31)[10],(33)[10],(33)[11],(31)[11],(34)[6],(30)[6],(34)[7],(30)[7],(34)[8]
4.99,0.797098538525608,0.098908853978767,0.09890885397581,0.001187578076638,0.001187578076479,0.00112615818578,0.001126158185267,0.000326909130224,5.76944790444175E-05,1.71749758435363E-05,1.71749756588716E-05,1.42209165749079E-05,1.42209161131421E-05,3.10130626176038E-06,1.56775783683521E-06,1.56775782535974E-06,8.38508383896316E-07,2.53853782749013E-07,2.53853732779656E-07,2.26428566770091E-07,2.26428542561842E-07,1.59902191095806E-07,1.59902107510221E-07,1.50045970561152E-07,1.50045948759255E-07,5.2457972163672E-08,2.90420215375597E-08,2.85982412135899E-08,2.859823830632E-08,2.29805480774839E-08,2.29805408677883E-08,1.17799262044773E-08,7.76724721065963E-09,3.19933931326413E-09,3.19932408668393E-09,3.04392204222669E-09,3.04391935872323E-09,1.67130640171994E-09,1.67130016071081E-09,1.60425974831854E-09,1.604250104555E-09,1.31429347229561E-09,1.3142923030798E-09,5.6596689083054E-10,3.35788253566015E-10,3.35787452780503E-10,3.22382114813076E-10,3.22379046354237E-10,2.80125351309504E-10,2.7972691078975E-10,2.79726045671666E-10,2.26420788796955E-10,2.2642074477449E-10,1.68436003275345E-10,9.16831456850645E-11,4.14524132597394E-11,4.14516410660445E-11,3.76731940121731E-11,3.76723862140318E-11,3.16398069445958E-11,3.16362497504533E-11,2.9964087102844E-11,2.99611413263246E-11,2.46755388540665E-11
4.98,0.796063934454157,0.099383449954906,0.099383449951877,0.001207476127861,0.001207476127759,0.001143736535213,0.001143736534772,0.000334166037163,5.8952486481493E-05,1.76268760561256E-05,1.76268759048482E-05,1.45881560637171E-05,1.45881556887051E-05,3.20467021484472E-06,1.62190866943299E-06,1.62190866018303E-06,8.6471897814918E-07,2.62730581295021E-07,2.62730530791511E-07,2.34963582059118E-07,2.34963565365835E-07,1.65570436232673E-07,1.65570379096068E-07,1.56034746350528E-07,1.56034738130099E-07,5.46815700988195E-08,3.02683574560876E-08,2.9940354390914E-08,2.99403533362957E-08,2.39955326211908E-08,2.39955270982555E-08,1.22312644754524E-08,8.0956358968177E-09,3.33073597468304E-09,3.33072303389799E-09,3.18169259032305E-09,3.18169074926626E-09,1.75391421489207E-09,1.753910208207E-09,1.66874027900536E-09,1.66873132465409E-09,1.37771171753366E-09,1.37770969943304E-09,5.92920111000722E-10,3.53683504135795E-10,3.53682637778345E-10,3.39035870982467E-10,3.39033220608681E-10,2.93760948617394E-10,2.95526593306715E-10,2.95526039068321E-10,2.39731857947571E-10,2.39731839435758E-10,1.75738196136044E-10,9.57376101898911E-11,4.38229709072258E-11,4.38220547829529E-11,3.95531047348535E-11,3.95522877518529E-11,3.31301808336663E-11,3.31268026759344E-11,3.1693936894748E-11,3.16909189313559E-11,2.61455708132322E-11
4.97,0.795020826964985,0.099861442698935,0.099861442696748,0.001227772206244,0.001227772206099,0.001161636108916,0.001161636108346,0.000341605837364,6.0241679903021E-05,1.80919240290768E-05,1.80919238760369E-05,1.49652579840097E-05,1.49652575781107E-05,3.31168609904877E-06,1.678108732272E-06,1.67810872285741E-06,8.91777451929633E-07,2.71922265632779E-07,2.7192221427989E-07,2.43854962943732E-07,2.43854942681842E-07,1.71423360495318E-07,1.71423299662409E-07,1.62277416238982E-07,1.62277408402152E-07,5.70028963262497E-08,3.15466530702815E-08,3.13488053794741E-08,3.13488045308791E-08,2.5057760833804E-08,2.50577551662204E-08,1.26995080980934E-08,8.43801558454716E-09,3.46718615756308E-09,3.46717249892842E-09,3.32607735081738E-09,3.32607188342767E-09,1.84065469654941E-09,1.84065076404237E-09,1.73547451230398E-09,1.73546442008096E-09,1.44423776095132E-09,1.44423585365754E-09,6.21153833971417E-10,3.72588299360688E-10,3.72587410092266E-10,3.56541985160416E-10,3.56539168047515E-10,3.08019187785415E-10,3.12237829278867E-10,3.12237268898689E-10,2.53866959212424E-10,2.53866939438858E-10,1.83348710526327E-10,9.99531197463492E-11,4.63340301120035E-11,4.63342396405818E-11,4.15294244018476E-11,4.1528293707764E-11,3.47841902766036E-11,3.47811599092571E-11,3.34334262814809E-11,3.34305855917265E-11,2.77012104593381E-11
4.96,0.793969123070991,0.100342859691976,0.100342859690471,0.001248475396368,0.001248475396143,0.001179863059148,0.001179863058678,0.000349233559697,6.15628799706749E-05,1.85705187545565E-05,1.85705185970261E-05,1.53524604575636E-05,1.5352460069308E-05,3.4224834498604E-06,1.73644153908077E-06,1.73644152988103E-06,9.19709464004517E-07,2.81439245428868E-07,2.81439182429571E-07,2.53119132899256E-07,2.53119116301611E-07,1.77465128947772E-07,1.77465066095423E-07,1.68785117516719E-07,1.68785104811519E-07,5.94262582751827E-08,3.28789496643011E-08,3.28269840320919E-08,3.28269814346017E-08,2.61694910519786E-08,2.6169483631272E-08,1.31852371787207E-08,8.79493290960952E-09,3.60886763869647E-09,3.6088455427795E-09,3.47739501661552E-09,3.47739149353226E-09,1.93173512034033E-09,1.93172781449732E-09,1.80454122916971E-09,1.80452910905332E-09,1.51400825223049E-09,1.51400587697876E-09,6.50727437485339E-10,3.92561413377639E-10,3.92560466480412E-10,3.74944468540479E-10,3.74940254138979E-10,3.22924924617385E-10,3.29916218988167E-10,3.29912923621417E-10,2.68879335910088E-10,2.6887932205108E-10,1.91280012424752E-10,1.043349411643E-10,4.89927555319218E-11,4.8992554261079E-11,4.36071726573965E-11,4.36058365309867E-11,3.66620158883174E-11,3.66584252850138E-11,3.51335053061944E-11,3.51285924953328E-11,2.93503884092314E-11
4.95,0.792908728958987,0.100827728424628,0.10082772842379,0.001269595000979,0.001269595000738,0.001198423622232,0.00119842362159,0.000357054373332,6.29169268549815E-05,1.90630703537964E-05,1.90630702173473E-05,1.57500041249042E-05,1.57500037576682E-05,3.53719604719397E-06,1.7969941711203E-06,1.79699416112936E-06,9.48541197313316E-07,2.91292131192328E-07,2.91292081651018E-07,2.62773340955884E-07,2.62773326368147E-07,1.83699805122142E-07,1.83699747037588E-07,1.75569444799839E-07,1.75569435060679E-07,6.1956151454745E-08,3.42673652918034E-08,3.43784462115549E-08,3.43784449340756E-08,2.73330810155083E-08,2.7333074876817E-08,1.36890448514831E-08,9.16695148859511E-09,3.75593158042529E-09,3.75591732958105E-09,3.63599539593691E-09,3.63599191314756E-09,2.02735774014638E-09,2.02735634422697E-09,1.87600829504774E-09,1.87599888189863E-09,1.58715805995215E-09,1.58715581334498E-09,6.81702714997862E-10,4.1366469017345E-10,4.13663677648209E-10,3.94284963143304E-10,3.94281681535474E-10,3.38500087243765E-10,3.48611839142547E-10,3.48610829223736E-10,2.84825760518147E-10,2.84825750434517E-10,1.99544524340092E-10,1.08887495608214E-10,5.18073011270323E-11,5.18071016747702E-11,4.57910468937968E-11,4.5789808540855E-11,3.87678165944874E-11,3.87665323216796E-11,3.67946537418466E-11,3.67911747903639E-11,3.10978815086821E-11
4.94,0.79183955001155,0.10131607638251,0.101316076382271,0.001291140545703,0.001291140545454,0.001217324114739,0.00121732411419,0.000365073590574,6.4304680317906E-05,1.95700003622274E-05,1.95700002590254E-05,1.61581320754233E-05,1.61581317706216E-05,3.65596195865017E-06,1.8598574328801E-06,1.85985742212725E-06,9.78299393331052E-07,3.01491854934251E-07,3.01491818306084E-07,2.72835689453145E-07,2.72835676263049E-07,1.90131475846599E-07,1.90131419212341E-07,1.82642514028025E-07,1.82642497773227E-07,6.45972666483208E-08,3.57141009432375E-08,3.60069369495537E-08,3.60069338525749E-08,2.85510059577489E-08,2.85509992954414E-08,1.42115575168761E-08,9.55464990978848E-09,3.90856420443642E-09,3.90855070221755E-09,3.80224623845006E-09,3.80224242218325E-09,2.12774812602325E-09,2.1277463132702E-09,1.94997010020376E-09,1.9499618654944E-09,1.66382332300408E-09,1.66382084397654E-09,7.1414624441688E-10,4.35963604857328E-10,4.359625320613E-10,4.14611516724527E-10,4.14608155044211E-10,3.54769130257722E-10,3.68386732838163E-10,3.68385706624385E-10,3.0176681377309E-10,3.01766792591995E-10,2.08158246498953E-10,1.13615860715758E-10,5.47876124316546E-11,5.47875378639285E-11,4.80879596151019E-11,4.80868627774956E-11,4.10784735846461E-11,4.10775214982095E-11,3.84560224966028E-11,3.84520762254301E-11,3.295073585911E-11
4.93,0.790761490840798,0.101807931026643,0.101807931027052,0.001313121783326,0.001313121783137,0.001236570931648,0.001236570931223,0.000373296670218,6.57270198278972E-05,2.00917418141439E-05,2.00917416987565E-05,1.65770892782067E-05,1.65770889712588E-05,3.77892353296724E-06,1.9251260085572E-06,1.92512599564178E-06,1.00901125975333E-06,3.12049547990696E-07,3.12049499528282E-07,2.83325124222186E-07,2.83325108143575E-07,1.96764094221934E-07,1.96764027060472E-07,1.90016941263368E-07,1.90016920244785E-07,6.73544789491054E-08,3.72214094266877E-08,3.77163850195283E-08,3.77163809465494E-08,2.98258537074397E-08,2.98258441150992E-08,1.47533975024053E-08,9.9586183244089E-09,4.06694426597561E-09,4.06691405957609E-09,3.97652857005927E-09,3.97652359346168E-09,2.23313231458323E-09,2.23312622012235E-09,2.02652356925802E-09,2.02651175387718E-09,1.74413000144481E-09,1.74412680366616E-09,7.48124099698022E-10,4.59526932575855E-10,4.59525661139515E-10,4.35975822064327E-10,4.35967328059921E-10,3.71758221657075E-10,3.89301723295815E-10,3.89299846709273E-10,3.19767128912101E-10,3.19767067152826E-10,2.17132600122334E-10,1.18524675353208E-10,5.79428165749843E-11,5.79427467236763E-11,5.05022093282662E-11,5.05010173363618E-11,4.35763257351271E-11,4.35745372274583E-11,4.01520795705161E-11,4.01414565305907E-11,3.49136337985061E-11
4.92,0.789674455319817,0.102303319774203,0.102303319774987,0.001335548698341,0.001335548698118,0.001256170542875,0.001256170542513,0.000381729220647,6.71848446814572E-05,2.06287393812356E-05,2.06287392680062E-05,1.70071224391469E-05,1.70071221517216E-05,3.9062274956888E-06,1.99289862724107E-06,1.99289861320971E-06,1.04070450909042E-06,3.22976590148604E-07,3.2297656334512E-07,2.94261510007717E-07,2.94261496692222E-07,2.03601545841767E-07,2.03601490028125E-07,1.97705881200187E-07,1.97705861108891E-07,7.02328721308557E-08,3.87916085112451E-08,3.95109208972621E-08,3.95109170027697E-08,3.11603279909397E-08,3.11603202735304E-08,1.53152180327093E-08,1.03794594564474E-08,4.23122613320875E-09,4.23121648032561E-09,4.15923912985021E-09,4.1592349193306E-09,2.34373991927877E-09,2.34373887550752E-09,2.10577572115814E-09,2.10576739066948E-09,1.82819571961169E-09,1.8281927067995E-09,7.83706207644513E-10,4.8442741462234E-10,4.84426099081345E-10,4.58420657147279E-10,4.58418439243352E-10,3.89490915185334E-10,4.11420305015572E-10,4.11419185480803E-10,3.38895570845704E-10,3.38895516438971E-10,2.26479248313089E-10,1.23618155026852E-10,6.12831942919402E-11,6.12831190438344E-11,5.3039293754101E-11,5.30381035521557E-11,4.6255995163429E-11,4.6255294202297E-11,4.18885651190052E-11,4.18844708922506E-11,3.69932284448147E-11
4.91,0.788578346615487,0.102802269980529,0.102802269980291,0.001358431511033,0.001358431510822,0.001276129489353,0.001276129489038,0.000390377003129,6.86790740155951E-05,2.11814495358666E-05,2.11814494274322E-05,1.74484796187759E-05,1.74484793383861E-05,4.03802504137344E-06,2.06327823264592E-06,2.06327821759114E-06,1.07340732573144E-06,3.34284641745845E-07,3.34284619657765E-07,3.05665664577711E-07,3.05665650209378E-07,2.10647670898422E-07,2.10647613003092E-07,2.05723050415856E-07,2.05723030197686E-07,7.3237739202104E-08,4.04270941830651E-08,4.13948852083598E-08,4.13948816046793E-08,3.2557263750071E-08,3.25572562672159E-08,1.58976959008388E-08,1.08177881898996E-08,4.40160731804365E-09,4.40159893960187E-09,4.35079949099544E-09,4.35079517762957E-09,2.45982722656361E-09,2.45982686988657E-09,2.1878782704794E-09,2.18787005547623E-09,1.91612220744971E-09,1.91611923662212E-09,8.20967295216576E-10,5.10741924663778E-10,5.10740500051611E-10,4.82002261495256E-10,4.82000142990745E-10,4.07997385841199E-10,4.34814361676325E-10,4.34813236320523E-10,3.59225676454499E-10,3.59225622626713E-10,2.36214223429021E-10,1.28901561955656E-10,6.48195821658698E-11,6.48195000375077E-11,5.57064699361008E-11,5.57052560335271E-11,4.9122534201617E-11,4.9121831693863E-11,4.36822841168855E-11,4.36779502792823E-11,3.91972767417065E-11
4.9,0.787473067233525,0.103304808912627,0.103304808912203,0.001381780682057,0.001381780681866,0.001296454379004,0.00129645437878,0.000399245934933,7.02106468006367E-05,2.17503406914965E-05,2.17503406138074E-05,1.79014098514794E-05,1.79014096255573E-05,4.17447189701559E-06,2.136372164116E-06,2.13637214885769E-06,1.10714833765511E-06,3.45985551528477E-07,3.45985539493153E-07,3.175593807985E-07,3.17559370093525E-07,2.17906160422556E-07,2.17906122873455E-07,2.14082730461593E-07,2.14082714425523E-07,7.63745883809275E-08,4.21303189179535E-08,4.33728339543055E-08,4.3372830841225E-08,3.40196212971806E-08,3.40196148868331E-08,1.65015257956921E-08,1.12742293040528E-08,4.5782555794862E-09,4.57825123786411E-09,4.55164574240492E-09,4.55164416052612E-09,2.58164032225865E-09,2.5816443208014E-09,2.27299808815319E-09,2.27299967863431E-09,2.007980960422E-09,2.00797949155828E-09,8.59983090982971E-10,5.38551543300306E-10,5.38550168143275E-10,5.0677366801643E-10,5.06771734418108E-10,4.27302642129455E-10,4.59552194086776E-10,4.59551541840534E-10,3.80835864794294E-10,3.80835815725685E-10,2.46353434308012E-10,1.34380172080088E-10,6.85631847238276E-11,6.85630432626412E-11,5.85099784645535E-11,5.85093215446356E-11,5.21836338475987E-11,5.21829945476392E-11,4.55339542345507E-11,4.55368502842305E-11,4.15316507786652E-11
