parameter,(15)[0],(14)[0],(16)[0],(15)[1],(14)[1],(16)[1],(15)[2],(15)[3],(13)[0],(17)[0],(14)[2],(16)[2],(14)[3],(16)[3],(15)[4],(15)[5],(15)[6],(13)[1],(17)[1],(14)[4],(16)[4],(14)[5],(16)[5],(15)[7],(14)[6],(16)[6],(15)[8],(15)[9],(13)[2],(17)[2],(15)[10],(15)[11],(13)[3],(17)[3],(14)[7],(16)[7],(14)[8],(16)[8],(14)[9],(16)[9],(12)[0],(18)[0],(14)[10],(16)[10],(15)[12],(15)[13],(17)[4],(13)[4],(15)[14],(15)[15],(15)[16],(13)[5],(17)[5],(14)[11],(16)[11],(14)[12],(16)[12],(16)[13],(14)[13],(16)[14],(14)[14],(16)[15],(14)[15],(14)[16]
-0.001,0.472149525333203,0.019098629998781,0.019098629998676,0.00077600260195,8.71851938100298E-06,8.71851938070478E-06,3.54551445434885E-07,3.54270823391525E-07,3.51071092408874E-07,3.51071092392347E-07,1.43350032070021E-08,1.43350032058534E-08,6.98781669679463E-10,6.9878166922111E-10,1.62106986153345E-10,2.84072764971902E-11,2.83888975835555E-11,2.81435740941683E-11,2.81435740418316E-11,6.55988781790879E-12,6.5598878134338E-12,1.14885424984711E-12,1.14885424322982E-12,2.66642271680259E-13,1.41232408395136E-14,1.4123240273132E-14,1.30120669464261E-14,1.29739708537286E-14,1.28332030485081E-14,1.28332026893307E-14,5.74005211535193E-16,5.73720007509134E-16,5.68865163992032E-16,5.68865115144981E-16,5.26541423644672E-16,5.26541378137223E-16,5.25054240943075E-16,5.25054239459117E-16,5.24036593308809E-16,5.2403657708254E-16,5.1451970540777E-16,5.14519697422246E-16,2.32176460914321E-17,2.3217640078673E-17,2.14010484141533E-17,2.13386583850104E-17,2.11070576950209E-17,2.11070554077526E-17,1.04387978706081E-18,2.62723247598345E-19,2.6213995244008E-19,2.59414559019525E-19,2.59413737701808E-19,2.40258682090003E-19,2.40257868985533E-19,8.17311397616037E-20,8.17310684419784E-20,4.22334052251979E-20,4.22333424102729E-20,1.0629794460465E-20,1.06297799557921E-20,1.06066168872596E-20,1.06065899888286E-20,1.05901951418948E-20
-0.002,0.472325263458918,0.0190780359137,0.019078035913789,0.000777503271721,8.70936539249071E-06,8.70936539301982E-06,3.55553987237018E-07,3.5499130447072E-07,3.48609285016075E-07,3.48609285056122E-07,1.43479377332119E-08,1.43479377365521E-08,6.97928494472233E-10,6.97928495389682E-10,1.62825676905325E-10,2.84729746641144E-11,2.84361308165454E-11,2.79469439281595E-11,2.7946944058224E-11,6.5820276175467E-12,6.5820276107078E-12,1.14961012306167E-12,1.14961014418457E-12,2.68454810985236E-13,1.41041313407504E-14,1.41041319745765E-14,1.30869326034939E-14,1.30104014976627E-14,1.27296965746827E-14,1.27296977308663E-14,5.75119062617898E-16,5.74546833027294E-16,5.6486680872034E-16,5.64866867477348E-16,5.29004844366986E-16,5.29004910269751E-16,5.2601824596869E-16,5.26018260298901E-16,5.23980238402361E-16,5.23980325353949E-16,5.05126270018827E-16,5.05126650690784E-16,2.32281182051941E-17,2.32281268999494E-17,2.15733506731132E-17,2.14473511266348E-17,2.09843086639181E-17,2.09842447544277E-17,1.05075872301951E-18,2.63957232474108E-19,2.62780996473735E-19,2.57345624736222E-19,2.57346952670867E-19,2.41290768938562E-19,2.41291665349567E-19,8.16112873032225E-20,8.16113433269665E-20,4.24643653139479E-20,4.24642615081432E-20,1.0668594166828E-20,1.06685268771629E-20,1.06214254109164E-20,1.06213862691448E-20,1.05882988600147E-20
-0.003,0.472500897515752,0.019057463100886,0.019057463101011,0.000779006096314,8.70021237498612E-06,8.700212375085E-06,3.56558155262217E-07,3.55711970847063E-07,3.46164980493452E-07,3.4616498050755E-07,1.43608294280281E-08,1.43608294280611E-08,6.97075999603188E-10,6.97075999015721E-10,1.6354705831764E-10,2.85387213319885E-11,2.84833269466471E-11,2.77517265937695E-11,2.77517265380577E-11,6.60422812215548E-12,6.60422811570356E-12,1.15036222492408E-12,1.15036222683883E-12,2.70278613050089E-13,1.40850477335344E-14,1.40850474642927E-14,1.31621274003332E-14,1.30468492640635E-14,1.26270343673553E-14,1.26270341322267E-14,5.76234047909303E-16,5.75373014953239E-16,5.60897453546293E-16,5.60897402192125E-16,5.31476268225999E-16,5.31476369549316E-16,5.26980499984916E-16,5.26980472792029E-16,5.23919732322129E-16,5.23919708143579E-16,4.9590644919928E-16,4.95906437752562E-16,2.32385432813346E-17,2.32385415600095E-17,2.1746892538308E-17,2.1556395432847E-17,2.08620577611304E-17,2.08620581256759E-17,1.05767890619735E-18,2.65194643476029E-19,2.63421618074067E-19,2.55295359333965E-19,2.55295030394731E-19,2.42326317825517E-19,2.42326257224674E-19,8.14917356470472E-20,8.14917106828134E-20,4.26959844302291E-20,4.26957366726573E-20,1.07072456255333E-20,1.07071684591976E-20,1.06360901405899E-20,1.06360637969047E-20,1.05864234142775E-20
-0.004,0.472676427635481,0.019036911523393,0.019036911523544,0.000780511080182,8.69106037773276E-06,8.69106037759822E-06,3.57563949358889E-07,3.56432818982775E-07,3.43738051229473E-07,3.43738051222331E-07,1.43736781740703E-08,1.43736781728164E-08,6.96224185192679E-10,6.9622418440672E-10,1.64271138955657E-10,2.86045167286028E-11,2.85304858761661E-11,2.75579112928808E-11,2.7557911219121E-11,6.62648943591639E-12,6.62648943792923E-12,1.15111054272547E-12,1.15111053378064E-12,2.72113717303407E-13,1.40659884600569E-14,1.40659881874566E-14,1.32376511749512E-14,1.30833139082276E-14,1.25252079686848E-14,1.25252076458484E-14,5.77350151398482E-16,5.76198563862661E-16,5.56956747075981E-16,5.56956701349639E-16,5.33955867446475E-16,5.33955697638013E-16,5.27940959371769E-16,5.27940942451543E-16,5.23854935718765E-16,5.23854905383425E-16,4.86856433704879E-16,4.86856411199963E-16,2.32489074722669E-17,2.32489050995516E-17,2.19216139648615E-17,2.1665796357214E-17,2.07404011458077E-17,2.07404095213174E-17,1.06463911702811E-18,2.66435046009258E-19,2.64062148330097E-19,2.53261437212247E-19,2.53261039999929E-19,2.4336370568859E-19,2.43363587446468E-19,8.13723545031513E-20,8.13723316494459E-20,4.29280596390368E-20,4.29286025935327E-20,1.07457865854411E-20,1.07459288653964E-20,1.06506460431482E-20,1.06507139850223E-20,1.0584455463999E-20
-0.005,0.472851853948994,0.019016381144438,0.019016381144636,0.000782018227796,8.68190945041954E-06,8.68190945067913E-06,3.5857136943551E-07,3.57153845346302E-07,3.41328370572235E-07,3.4132837058449E-07,1.43864838613639E-08,1.43864838610999E-08,6.9537305466989E-10,6.95373054649978E-10,1.64997927320227E-10,2.86703611364467E-11,2.85776074384738E-11,2.73654875154032E-11,2.73654874833434E-11,6.64881175026007E-12,6.64881174834711E-12,1.15185507859386E-12,1.15185507177329E-12,2.73960194301261E-13,1.40469534952077E-14,1.40469542557935E-14,1.33135067345231E-14,1.31197951221511E-14,1.24242106546882E-14,1.2424210301659E-14,5.78467447465832E-16,5.77023457026514E-16,5.53044477574629E-16,5.53044481772214E-16,5.36443486791286E-16,5.36443340494652E-16,5.28899683757928E-16,5.28899661244562E-16,5.23785921060166E-16,5.23785880020609E-16,4.77973047574264E-16,4.77973030141708E-16,2.32592149927869E-17,2.32592144526749E-17,2.20975501034272E-17,2.17755590482741E-17,2.06192892518885E-17,2.06192961758484E-17,1.07164158080071E-18,2.6767941020319E-19,2.64702417534606E-19,2.51244005576992E-19,2.51243632354635E-19,2.444034344925E-19,2.44403325138446E-19,8.12530495568953E-20,8.12532858385876E-20,4.31618746996228E-20,4.31622917131364E-20,1.07845637980404E-20,1.07846793966462E-20,1.0665236395947E-20,1.06652793054117E-20,1.05823944108233E-20
-0.006,0.473027176585724,0.018995871927546,0.018995871927542,0.000783527543648,8.6727596435329E-06,8.67275964332458E-06,3.59580415378863E-07,3.57875046406001E-07,3.38935812906703E-07,3.38935812885693E-07,1.4399246381997E-08,1.43992463827569E-08,6.94522612008404E-10,6.94522610731129E-10,1.65727431956311E-10,2.87362546804637E-11,2.86246915636349E-11,2.71744449263196E-11,2.71744447911118E-11,6.67119523514251E-12,6.67119523777671E-12,1.1525958421641E-12,1.15259584700617E-12,2.75818118215346E-13,1.40279449121204E-14,1.40279431525731E-14,1.33896945812224E-14,1.31562927414975E-14,1.23240356246364E-14,1.2324035302509E-14,5.7958587616654E-16,5.77847762397714E-16,5.49160524233795E-16,5.49160384990681E-16,5.38939132403113E-16,5.38939283787892E-16,5.29856618542667E-16,5.29856635035661E-16,5.23712640693099E-16,5.23712677336592E-16,4.69253199356737E-16,4.69253176923639E-16,2.32694680941118E-17,2.32694666881394E-17,2.22747269362397E-17,2.18856817939998E-17,2.04987200541983E-17,2.04987134622284E-17,1.07868605251787E-18,2.68927429853674E-19,2.65342607597348E-19,2.49242909592619E-19,2.49242451839614E-19,2.45445435402821E-19,2.45445534444167E-19,8.11343488244877E-20,8.1133991315492E-20,4.33971679794183E-20,4.33967362018004E-20,1.08235099802207E-20,1.08233903019949E-20,1.06798088259957E-20,1.06797719365769E-20,1.05802309424255E-20
-0.007,0.473202395674988,0.018975383835865,0.018975383836018,0.000785039032237,8.66361100559576E-06,8.66361100618257E-06,3.60591087075948E-07,3.58596418595957E-07,3.36560253438024E-07,3.36560253488772E-07,1.44119656254826E-08,1.44119656282005E-08,6.93672857708255E-10,6.93672859481315E-10,1.66459661575752E-10,2.88021976603177E-11,2.86717380011677E-11,2.69847729165208E-11,2.69847730975452E-11,6.69364008730293E-12,6.69364009029012E-12,1.15333284124177E-12,1.15333285246493E-12,2.77687561196491E-13,1.40089582876915E-14,1.40089601608227E-14,1.34662160691102E-14,1.31928058073824E-14,1.22246757722103E-14,1.22246764546847E-14,5.8070549049694E-16,5.78671406017829E-16,5.45304395511926E-16,5.45304545851585E-16,5.41443157328266E-16,5.41443310059755E-16,5.30811736083437E-16,5.30811751388661E-16,5.2363515265732E-16,5.23635219511285E-16,4.60693812121315E-16,4.60693844301856E-16,2.32796604937265E-17,2.32796652062583E-17,2.24531653621501E-17,2.19961588662453E-17,2.03786790144264E-17,2.03786702263136E-17,1.08577288392994E-18,2.70179227412368E-19,2.65982258903188E-19,2.47257473513069E-19,2.47258119583949E-19,2.46489924684041E-19,2.46490009018689E-19,8.10152239671239E-20,8.10155850016583E-20,4.3633212274621E-20,4.36327656666057E-20,1.0862413056411E-20,1.08622911172443E-20,1.06942586161753E-20,1.06942232631373E-20,1.05780025737602E-20
-0.008,0.473377511345651,0.018954916833235,0.01895491683331,0.000786552698076,8.65446358697251E-06,8.6544635874451E-06,3.61603384336761E-07,3.59317958389742E-07,3.34201568489987E-07,3.34201568542701E-07,1.44246414822007E-08,1.44246414855322E-08,6.92823798168048E-10,6.92823799748254E-10,1.67194624361091E-10,2.88681902368958E-11,2.87187468021668E-11,2.67964616004964E-11,2.67964618281439E-11,6.71614642358709E-12,6.71614642801776E-12,1.15406608842866E-12,1.15406610316794E-12,2.79568582619759E-13,1.39899985521176E-14,1.39899998481438E-14,1.35430715552072E-14,1.32293351470838E-14,1.21261254733649E-14,1.21261264596231E-14,5.81826292955628E-16,5.79494457356023E-16,5.41476213884714E-16,5.41476372459886E-16,5.4395532521339E-16,5.43955481333871E-16,5.31765086540159E-16,5.31765130093487E-16,5.23553475251191E-16,5.23553581675057E-16,4.5229195593573E-16,4.52292001484332E-16,2.32898010164407E-17,2.328980716109E-17,2.26328466645815E-17,2.2107000671104E-17,2.02591725520087E-17,2.02591615108097E-17,1.09290207731279E-18,2.71434795070224E-19,2.66622046198757E-19,2.4528854011571E-19,2.45289446370437E-19,2.47536703731371E-19,2.47536793297124E-19,8.08967369740195E-20,8.08969063995859E-20,4.38703729961738E-20,4.38699050100839E-20,1.0901384271777E-20,1.09012619102119E-20,1.07087012698605E-20,1.07086464577366E-20,1.0575709441987E-20
-0.009,0.473552523725603,0.018934470883092,0.018934470883297,0.000788068545699,8.64531743615913E-06,8.64531743661535E-06,3.62617307060313E-07,3.60039662200315E-07,3.31859635181971E-07,3.31859635212762E-07,1.4437273843086E-08,1.44372738452889E-08,6.91975434783568E-10,6.91975435874448E-10,1.67932329287016E-10,2.89342326385369E-11,2.8765717712942E-11,2.66095007481481E-11,2.66095007971785E-11,6.73871444833579E-12,6.7387144496112E-12,1.15479558689201E-12,1.15479559875096E-12,2.81461255674311E-13,1.39710636620198E-14,1.39710647954734E-14,1.36202630347378E-14,1.32658797675425E-14,1.20283782705224E-14,1.20283784298297E-14,5.82948295702038E-16,5.80316873342421E-16,5.37675704986004E-16,5.37675754393172E-16,5.46475749616305E-16,5.46475917950677E-16,5.32716673604429E-16,5.32716633879377E-16,5.23467604663519E-16,5.23467706434204E-16,4.44044699580538E-16,4.44044710454035E-16,2.32998870816354E-17,2.3299891846087E-17,2.2813797678291E-17,2.22181989052609E-17,2.01401981791517E-17,2.01401816210218E-17,1.10007485275386E-18,2.72694365238811E-19,2.67261557075669E-19,2.43336101567263E-19,2.43336234859741E-19,2.48585835665847E-19,2.48585894114215E-19,8.07783477370042E-20,8.07786012099393E-20,4.4108785165913E-20,4.41082593991481E-20,1.09404606179029E-20,1.09403027597421E-20,1.07230519485328E-20,1.07230758423932E-20,1.05733289268103E-20
-0.01,0.47372743294114,0.018914045949457,0.018914045949624,0.000789586579657,8.6361726023675E-06,8.63617260258304E-06,3.63632855077985E-07,3.60761526456072E-07,3.29534331626232E-07,3.29534331645463E-07,1.44498625990368E-08,1.44498625991209E-08,6.91127769857731E-10,6.9112777017409E-10,1.68672784674793E-10,2.90003250240198E-11,2.88126505807869E-11,2.64238801261283E-11,2.64238801621497E-11,6.76134431495523E-12,6.76134431936205E-12,1.15552134394142E-12,1.15552134449865E-12,2.83365649341942E-13,1.39521539455968E-14,1.39521540076476E-14,1.36977903890554E-14,1.33024392030486E-14,1.19314268364127E-14,1.19314269580089E-14,5.84071469846931E-16,5.81138664680842E-16,5.33902565675002E-16,5.33902569493062E-16,5.49004527465355E-16,5.49004521292515E-16,5.33666338512385E-16,5.33666317515541E-16,5.23377563043875E-16,5.23377612252376E-16,4.35949136711886E-16,4.35949144455478E-16,2.33099183372162E-17,2.33099189950808E-17,2.29960281580012E-17,2.23297438564997E-17,2.00217454237376E-17,2.00217428165524E-17,1.10729018534879E-18,2.73957733194216E-19,2.67900736965927E-19,2.41399175508891E-19,2.41399232527968E-19,2.49637285843179E-19,2.49637331489905E-19,8.06603249246256E-20,8.06603208433898E-20,4.43481758849901E-20,4.4348191664076E-20,1.09795416873969E-20,1.09795493243521E-20,1.07373762709111E-20,1.07373743587142E-20,1.05709266049776E-20
