parameter,"(32,32)[0]","(33,32)[0]","(32,33)[0]","(32,31)[0]","(31,32)[0]","(33,33)[0]","(33,31)[0]","(31,33)[0]","(31,31)[0]","(32,32)[1]","(32,32)[2]","(33,32)[1]","(32,33)[1]","(32,31)[1]","(31,32)[1]","(33,32)[2]","(32,33)[2]","(32,31)[2]","(31,32)[2]","(34,32)[0]","(32,34)[0]","(32,30)[0]","(30,32)[0]","(33,33)[1]","(33,33)[2]","(33,31)[1]","(31,33)[1]","(33,31)[2]","(31,33)[2]","(31,31)[1]","(31,31)[2]","(34,33)[0]","(33,34)[0]","(34,31)[0]","(31,34)[0]","(33,30)[0]","(30,33)[0]","(32,32)[3]","(31,30)[0]","(30,31)[0]","(32,32)[4]","(32,32)[5]","(32,32)[6]","(32,32)[7]","(33,32)[3]","(32,33)[3]","(33,32)[4]","(32,33)[4]","(33,32)[5]","(32,33)[5]","(32,31)[3]","(31,32)[3]","(33,32)[6]","(32,33)[6]","(32,31)[4]","(31,32)[4]","(32,31)[5]","(31,32)[5]","(32,31)[6]","(31,32)[6]"
-0.054,0.188847328,0.089307537,0.089165107,0.085019969,0.084880747,0.04237227,0.039617142,0.039482148,0.038336199,0.025217354,0.025096966,0.011748813,0.01173256,0.011147234,0.011123036,0.010525264,0.010508097,0.009893316,0.009872314,0.007998847,0.007974128,0.007165671,0.007137383,0.00492605,0.004915292,0.004617079,0.004601542,0.004568907,0.004551095,0.004389317,0.00438046,0.003764686,0.003759007,0.003464453,0.003446531,0.003263788,0.003243645,0.003222876,0.003200453,0.00319294,0.002769196,0.00271268,0.002690429,0.002665957,0.001331081,0.001329387,0.001298296,0.001295783,0.001253033,0.001251016,0.001249274,0.001244079,0.001236642,0.00123375,0.001216949,0.001214799,0.0011861,0.001183756,0.001165322,0.001163952
-0.057,0.188840962,0.089271579,0.08916305,0.085009749,0.084931375,0.04237266,0.039577629,0.03949707,0.038374982,0.025218176,0.025093726,0.011742944,0.011734252,0.011147009,0.011130593,0.010515592,0.010508,0.009893514,0.009875047,0.007990456,0.007974032,0.007164934,0.007147394,0.004923673,0.00491345,0.004611615,0.004603261,0.004565294,0.004551621,0.004392601,0.004383878,0.003763372,0.003760198,0.003457478,0.00344766,0.003258499,0.003248079,0.00322322,0.003205806,0.003199122,0.002768527,0.00271241,0.002690574,0.002665577,0.001329896,0.001329154,0.001297646,0.001295815,0.001252373,0.001250301,0.001249165,0.001244798,0.001235981,0.001234178,0.001216765,0.001215566,0.001185786,0.001184678,0.001165087,0.001164713
-0.059,0.188847864,0.08935414,0.089157143,0.085054949,0.084801379,0.042427807,0.039618044,0.039411161,0.038352879,0.025225325,0.025092933,0.01176155,0.011728623,0.011147876,0.01111951,0.010535057,0.010503514,0.009893724,0.009865795,0.00800856,0.007970723,0.007170911,0.0071231,0.004931097,0.00492049,0.004620242,0.004592269,0.004567885,0.004544575,0.004388591,0.004381642,0.003775037,0.003765404,0.003464235,0.003436836,0.003262374,0.003232776,0.003223303,0.003205383,0.003193747,0.002769315,0.002712951,0.002689693,0.002665776,0.001333519,0.00132854,0.001299223,0.001296588,0.001253257,0.001251077,0.00124728,0.001244273,0.001237346,0.001233487,0.001218053,0.001213249,0.001186819,0.001182363,0.001165505,0.00116274
-0.068,0.188847986,0.089377196,0.089237096,0.084935103,0.08481819,0.042548842,0.039504311,0.039388847,0.038372157,0.025237195,0.025085193,0.011761009,0.011746882,0.011136891,0.011118835,0.01053379,0.010516401,0.009879939,0.009864282,0.008010651,0.007985645,0.007147257,0.007125416,0.004942236,0.004933124,0.004607402,0.004593735,0.004556333,0.004542334,0.004387648,0.004381724,0.003790754,0.003784951,0.003449046,0.003433664,0.003241156,0.003226491,0.003224936,0.003206226,0.003200941,0.002769095,0.002713529,0.002688719,0.002665617,0.001332782,0.001331234,0.00129979,0.001297373,0.001253685,0.001251946,0.00124694,0.001244037,0.001237101,0.00123509,0.001215589,0.001213991,0.001185176,0.001183087,0.001163488,0.001162016
-0.078,0.1888621,0.089396309,0.08928904,0.084886711,0.084793287,0.042650583,0.039421957,0.039333807,0.038404672,0.02524234,0.025071517,0.011763681,0.011750743,0.011128366,0.011115527,0.010537991,0.010523331,0.009873079,0.009863688,0.008015222,0.007993881,0.007137705,0.007122539,0.004951905,0.004944157,0.004601262,0.004589945,0.004548481,0.004538633,0.004388434,0.004384069,0.003806084,0.003800554,0.003438511,0.003426003,0.0032278,0.003217309,0.003224314,0.003210149,0.00320812,0.002769552,0.002714156,0.002688192,0.002665642,0.001333486,0.001331554,0.001299902,0.001297948,0.001253895,0.001252697,0.001245719,0.001244284,0.001237119,0.001236102,0.001214936,0.001213398,0.001184845,0.001183294,0.00116273,0.001161022
-0.079,0.188850259,0.089381654,0.089197528,0.084981016,0.084811965,0.042611146,0.03945304,0.039294322,0.038463265,0.025247382,0.025075543,0.011763246,0.011741068,0.011142971,0.011118126,0.010531311,0.010509772,0.009885927,0.009860719,0.008009147,0.007976813,0.007156782,0.007123719,0.004944911,0.004937543,0.00460399,0.00458514,0.004552277,0.004531779,0.004394668,0.004390333,0.003800786,0.003793206,0.003438868,0.00341836,0.003234202,0.003212803,0.0032252,0.003221708,0.003213611,0.00276836,0.002713319,0.0026879,0.002665576,0.001332948,0.001330093,0.001299205,0.001296358,0.00125344,0.001250744,0.001246955,0.001243756,0.001237194,0.001234318,0.001216547,0.001213604,0.00118602,0.001183689,0.001163514,0.001161602
-0.085,0.188859527,0.089469393,0.089295566,0.084915904,0.084685077,0.042739589,0.039420214,0.03924005,0.038413103,0.025250256,0.025065532,0.011778895,0.011745932,0.011125969,0.011105959,0.010551823,0.010519581,0.009872867,0.009852426,0.008030251,0.007992928,0.007141471,0.007105287,0.004961157,0.004952356,0.00460556,0.004579726,0.004548216,0.004529291,0.004387805,0.004383589,0.003821377,0.003810812,0.003438894,0.003414255,0.003224527,0.003202451,0.003224655,0.003215148,0.003207483,0.002769142,0.002714455,0.002687891,0.002665374,0.001335879,0.001330272,0.00130021,0.001297898,0.001254422,0.001252926,0.001245807,0.001244148,0.001238313,0.001235839,0.001215651,0.001211414,0.001185898,0.001182063,0.001162079,0.001159278
-0.086,0.188862905,0.089410917,0.089292997,0.08485784,0.084805635,0.042721113,0.039358566,0.039284384,0.038452718,0.025251424,0.025062745,0.011760823,0.011755708,0.011128258,0.011112661,0.010535147,0.010527499,0.009874789,0.009856911,0.008014631,0.007996792,0.007136272,0.007121203,0.004957457,0.004950294,0.004594974,0.004587865,0.004544299,0.004530536,0.004393007,0.004385916,0.003815702,0.003812177,0.003428465,0.003418942,0.003218739,0.003208249,0.003224276,0.00321979,0.00321458,0.002768841,0.002714544,0.002687608,0.00266539,0.001332618,0.001332847,0.001299882,0.001297489,0.001254192,0.001252084,0.001247335,0.001242197,0.001237479,0.00123601,0.001214288,0.0012138,0.001184632,0.001183869,0.001161231,0.001161126
-0.09,0.188865453,0.089421809,0.089291934,0.084888335,0.08476279,0.042755215,0.039352213,0.039237362,0.038474686,0.025254379,0.025061063,0.011768612,0.011751621,0.01112998,0.011113274,0.010541776,0.01052452,0.009870428,0.009856156,0.008018774,0.007994619,0.00713746,0.007115164,0.004960074,0.004954236,0.004596515,0.004582293,0.004539996,0.004527156,0.004391161,0.004388416,0.00382218,0.003816049,0.003427185,0.003412067,0.003215995,0.003201414,0.003226031,0.003222718,0.003217175,0.002768592,0.002714991,0.002687211,0.002665326,0.001333938,0.001331789,0.001299726,0.001297632,0.001254,0.001252352,0.001244295,0.001243911,0.001237576,0.001235828,0.001214868,0.001212891,0.001185384,0.00118326,0.00116165,0.001159929
-0.095,0.18883282,0.089463891,0.089283039,0.084904088,0.084715823,0.042822981,0.039343218,0.039182625,0.038506105,0.02526833,0.025063079,0.011781826,0.011756012,0.011134957,0.01111477,0.010541088,0.010515482,0.00986576,0.009845597,0.008025312,0.007989281,0.007137193,0.007106479,0.00496247,0.004957297,0.004595227,0.004574643,0.004536544,0.004518777,0.004391179,0.004389329,0.003832727,0.003822988,0.003424951,0.00340322,0.00321138,0.003192394,0.003228596,0.003227708,0.003221074,0.002765977,0.002714013,0.002685874,0.002664084,0.001335192,0.001331342,0.001300574,0.001297586,0.001253709,0.00125141,0.001244228,0.00124307,0.001237898,0.001235861,0.00121531,0.001212021,0.001185581,0.001182593,0.001161397,0.001158869
