parameter,(96)[0],(97)[0],(95)[0],(98)[0],(94)[0],(95)[1],(97)[1],(96)[1],(96)[2],(98)[1],(94)[1],(95)[2],(97)[2],(96)[3],(99)[0],(93)[0],(96)[4],(98)[2],(94)[2],(95)[3],(97)[3],(95)[4],(97)[4],(98)[3],(94)[3],(96)[5],(96)[6],(97)[5],(95)[5],(99)[1],(93)[1],(96)[7],(96)[8],(98)[4],(94)[4],(97)[6],(95)[6],(97)[7],(95)[7],(98)[5],(94)[5],(97)[8],(95)[8],(96)[9],(99)[2],(93)[2],(96)[10],(99)[3],(93)[3],(97)[9],(95)[9],(100)[0],(92)[0],(96)[11],(96)[12],(98)[6],(94)[6],(97)[10],(95)[10],(95)[11],(97)[11],(98)[7],(94)[7],(97)[12]
4.99,0.79706894001703,0.09891834937503,0.098918349374424,0.001188532804561,0.001188532804539,0.001129427593014,0.001129427592978,0.000327631379415,5.7968166509637E-05,1.73160335258377E-05,1.73160335158903E-05,1.45671228251256E-05,1.45671227895824E-05,3.16361920956827E-06,1.57295049622384E-06,1.57295048338621E-06,8.66135861006241E-07,2.66461362052093E-07,2.66461349825333E-07,2.35021316087813E-07,2.35021312669837E-07,1.74719334998437E-07,1.74719334672105E-07,1.51920909412165E-07,1.51920901515267E-07,5.49418026305746E-08,3.13958627912316E-08,2.8995015865115E-08,2.89950135435491E-08,2.34941115518039E-08,2.34941081897385E-08,1.3290211294964E-08,8.2292965222094E-09,3.87928007577247E-09,3.87927334035962E-09,3.50653780926744E-09,3.50652932822033E-09,2.11881371662206E-09,2.11880358277129E-09,1.78728779274811E-09,1.78728763253157E-09,1.37113387894786E-09,1.37113162758546E-09,7.11487256036794E-10,3.63953367461134E-10,3.63951963549458E-10,3.41517224108707E-10,3.38811026124335E-10,3.3880913113806E-10,2.99247396593444E-10,2.99246460500336E-10,2.28901841543974E-10,2.28901817843559E-10,2.20766241706742E-10,1.22281110747445E-10,5.39101296282442E-11,5.39067542462054E-11,5.25789071389216E-11,5.25769146549597E-11,4.48929024314278E-11,4.48922145165771E-11,3.19682247453142E-11,3.19658414665935E-11,2.76498623151556E-11
4.98,0.796032021063407,0.099393658518148,0.099393658516074,0.001208514089146,0.001208514089012,0.001147272654144,0.001147272654581,0.000334952500944,5.92502473783617E-05,1.77806031186565E-05,1.77806030097068E-05,1.49633513220958E-05,1.49633514639761E-05,3.27269319070913E-06,1.62763585637432E-06,1.62763583798303E-06,8.94801446324452E-07,2.76470973255756E-07,2.76470898560541E-07,2.44159908257456E-07,2.4415992466392E-07,1.81767745560449E-07,1.81767782625256E-07,1.5810347066831E-07,1.58103450054609E-07,5.73975156731261E-08,3.28443826152806E-08,3.03808733975122E-08,3.03808685388707E-08,2.45625510856418E-08,2.45625375742806E-08,1.38728331489417E-08,8.60326420456234E-09,4.07060490802104E-09,4.07056902391468E-09,3.67982511919136E-09,3.67981359918425E-09,2.22947942297523E-09,2.2294652883995E-09,1.88198340455546E-09,1.88196593355536E-09,1.44072777793928E-09,1.44072530738188E-09,7.51246079469992E-10,3.84388550353815E-10,3.84382815988921E-10,3.61303248257422E-10,3.57636096067582E-10,3.5762763209869E-10,3.17203122829192E-10,3.17200027229001E-10,2.42521933121049E-10,2.42521751817897E-10,2.32568291646111E-10,1.29133831416164E-10,5.72122724308295E-11,5.72016884107434E-11,5.56843799880429E-11,5.56822021441313E-11,4.76410826806791E-11,4.7640325012009E-11,3.40067119760995E-11,3.40037526085883E-11,2.94004251305833E-11
4.97,0.794986421009153,0.099872416635831,0.099872416634224,0.001228900573045,0.001228900572905,0.001165460289136,0.001165460289307,0.000342462163392,6.05656039911221E-05,1.82594416553938E-05,1.825944157128E-05,1.53718077150873E-05,1.53718078298434E-05,3.3859342180504E-06,1.68442524997528E-06,1.6844252377248E-06,9.24528359835829E-07,2.86894787658561E-07,2.86894710425256E-07,2.53694105717651E-07,2.5369414310122E-07,1.8912510190092E-07,1.89125177898198E-07,1.64559830742472E-07,1.64559810685076E-07,5.99722988045485E-08,3.43654630361482E-08,3.18378714030877E-08,3.18378664349317E-08,2.56837425677997E-08,2.56837332124483E-08,1.44833513194604E-08,8.99571092674153E-09,4.27211074521669E-09,4.27206130044864E-09,3.86241997016767E-09,3.86239028867966E-09,2.34637179425238E-09,2.34633640759058E-09,1.98206625006465E-09,1.98204347009542E-09,1.51413307302498E-09,1.51413011934814E-09,7.93392959792197E-10,4.06054805443435E-10,4.06050364341198E-10,3.82312209296723E-10,3.7758119874973E-10,3.77577101584229E-10,3.36308499502127E-10,3.36304168444729E-10,2.57004463975849E-10,2.57004428599386E-10,2.45055011645952E-10,1.36401088440945E-10,6.07375005505444E-11,6.07201578107026E-11,5.89968766227059E-11,5.89874392801484E-11,5.05687417483345E-11,5.05680826407385E-11,3.61842531240726E-11,3.61802872609307E-11,3.1274657650706E-11
4.96,0.793932033573998,0.100354654900603,0.10035465489995,0.001249701949081,0.00124970194899,0.001183998314823,0.001183998314936,0.00035016588526,6.19152351245459E-05,1.87530452772519E-05,1.87530452731751E-05,1.57929161130314E-05,1.57929160030852E-05,3.50351748500103E-06,1.74340778336659E-06,1.74340777396151E-06,9.55360268389619E-07,2.97751508462179E-07,2.9775151974364E-07,2.63642895681196E-07,2.63642866398566E-07,1.96806056700446E-07,1.96806023152677E-07,1.71303128928207E-07,1.71303119334721E-07,6.26723862953337E-08,3.59630469435665E-08,3.33699176679385E-08,3.33699148594339E-08,2.68605001991625E-08,2.68604978288725E-08,1.51232136011734E-08,9.40762514973242E-09,4.48431043577518E-09,4.48431323603695E-09,4.05481988784691E-09,4.05482429223761E-09,2.46981385287727E-09,2.4698146276389E-09,2.08783066278171E-09,2.08783286344586E-09,1.59157400671569E-09,1.59157112517915E-09,8.38078559739396E-10,4.29027324337684E-10,4.29027429367282E-10,4.04626198678154E-10,3.98717659456673E-10,3.98717022612024E-10,3.56636187915387E-10,3.56635914881624E-10,2.72407544865735E-10,2.72407543593391E-10,2.58267827723468E-10,1.44109209494572E-10,6.44784740245641E-11,6.4476373910817E-11,6.25168569692788E-11,6.25154921496322E-11,5.36902293827254E-11,5.3688081378605E-11,3.85089271185092E-11,3.85114170348735E-11,3.32697113293874E-11
4.95,0.792868750698521,0.100840404741678,0.100840404741417,0.001270928178656,0.001270928178649,0.001202894756299,0.001202894755817,0.000358069366281,6.33001736142604E-05,1.92619295008034E-05,1.92619295278828E-05,1.62271167580521E-05,1.62271165094828E-05,3.62562609505671E-06,1.80467668246913E-06,1.80467667300276E-06,9.87342791918676E-07,3.09060935094086E-07,3.09060951577768E-07,2.74026117290207E-07,2.74026096261191E-07,2.04825799138899E-07,2.04825764158627E-07,1.78347209596757E-07,1.78347199730947E-07,6.5504364258355E-08,3.76412820439493E-08,3.49811525460871E-08,3.49811499484973E-08,2.80958068891469E-08,2.80958043066737E-08,1.57939464102231E-08,9.84005244363168E-09,4.70786240313406E-09,4.70786568554091E-09,4.25762315228993E-09,4.25761868241013E-09,2.60023008180076E-09,2.6002261182072E-09,2.19964714962952E-09,2.19964934750043E-09,1.67328877475833E-09,1.6732863011836E-09,8.85463719697407E-10,4.53394510711344E-10,4.5339458284472E-10,4.28329923480941E-10,4.21125074496767E-10,4.21124349575235E-10,3.78273104342367E-10,3.78272816468893E-10,2.88793373968641E-10,2.88793362780171E-10,2.72249901421961E-10,1.5228571373311E-10,6.84646299604993E-11,6.84622755611366E-11,6.62662117000238E-11,6.62634512637724E-11,5.70155803558361E-11,5.70156096117509E-11,4.09953296413194E-11,4.0995096384077E-11,3.54003427001353E-11
4.94,0.791796462486198,0.101329697846556,0.101329697847947,0.001292589500743,0.001292589500871,0.001222157853739,0.001222157852965,0.000366178494336,6.47214880353792E-05,1.97866301017451E-05,1.97866301450642E-05,1.66748679086984E-05,1.66748675498927E-05,3.75245160353945E-06,1.86832952007637E-06,1.86832950966001E-06,1.0205237223752E-06,3.2084382652933E-07,3.20843852380012E-07,2.84864923348334E-07,2.84864896410241E-07,2.13200748436073E-07,2.13200702859186E-07,1.85706633689252E-07,1.85706621373805E-07,6.84752055491165E-08,3.94045564879641E-08,3.66759608634076E-08,3.66759568023432E-08,2.93928135942325E-08,2.9392810323026E-08,1.64972300012E-08,1.02941009877339E-08,4.94344285249311E-09,4.94344430327194E-09,4.47147379419297E-09,4.47146682639275E-09,2.73810717017856E-09,2.73810028220177E-09,2.31788886894706E-09,2.31788907112641E-09,1.75953593632208E-09,1.75953381756078E-09,9.35741466773632E-10,4.79247244140971E-10,4.79247135359642E-10,4.53515922506948E-10,4.44885574841211E-10,4.44884456558497E-10,4.01310341845532E-10,4.01309853811738E-10,3.06228572008422E-10,3.06228553395123E-10,2.87081748320971E-10,1.60967092287391E-10,7.2725226491184E-11,7.27222702513337E-11,7.02851657798352E-11,7.02819465755731E-11,6.05615471804476E-11,6.05616269079837E-11,4.36495088284856E-11,4.36492430724644E-11,3.77019635168305E-11
4.93,0.790715057184389,0.101822566161379,0.101822566161229,0.001314696440187,0.001314696440151,0.001241796067821,0.001241796067591,0.000374499352466,6.61802837290704E-05,2.03277038010947E-05,2.03277037413795E-05,1.71366443668046E-05,1.71366442228568E-05,3.88419448801765E-06,1.93446843135356E-06,1.93446841363909E-06,1.05495285798954E-06,3.33121913149852E-07,3.33121884975502E-07,2.96181296248695E-07,2.96181298768351E-07,2.21947582622771E-07,2.2194759479336E-07,1.93396721806604E-07,1.93396695016473E-07,7.15922488443536E-08,4.12575182591158E-08,3.84589856859482E-08,3.84589768296613E-08,3.07548551651783E-08,3.0754847054375E-08,1.72346758903138E-08,1.07709354274999E-08,5.1917181339911E-09,5.19169982546136E-09,4.69693472428253E-09,4.69691151566254E-09,2.88377370443941E-09,2.88374821432564E-09,2.44296206375974E-09,2.44294480932319E-09,1.85057694978841E-09,1.85057438767576E-09,9.89068694229051E-10,5.06682868537999E-10,5.0668139253142E-10,4.80281647367027E-10,4.70087823353661E-10,4.70085067955731E-10,4.25848460597518E-10,4.25840522990382E-10,3.24784578858161E-10,3.2478453600153E-10,3.02762733960315E-10,1.70176182809364E-10,7.72597209612946E-11,7.7251848955997E-11,7.45476039864748E-11,7.45374741094581E-11,6.43420359356974E-11,6.43424789123233E-11,4.64865352749754E-11,4.64859807490702E-11,4.01399331674392E-11
4.92,0.789624421124507,0.10231904188064,0.102319041882689,0.001337259816722,0.001337259816918,0.001261818089784,0.001261818088346,0.000383038225999,6.76777045620733E-05,2.08857291503115E-05,2.08857292617314E-05,1.7612941301379E-05,1.76129405467951E-05,4.02106461951096E-06,2.00320033127797E-06,2.00320032454964E-06,1.09068248712282E-06,3.45917965994849E-07,3.45918050617035E-07,3.07998697941593E-07,3.07998633317568E-07,2.31084443041913E-07,2.31084319994378E-07,2.01433575338176E-07,2.01433566540251E-07,7.48632845702381E-08,4.3205121578319E-08,4.03351374391854E-08,4.03351335019427E-08,3.21854503778631E-08,3.21854494239635E-08,1.80081456330507E-08,1.12717991970788E-08,5.45340761842136E-09,5.45343427848512E-09,4.93471230643473E-09,4.93471291268213E-09,3.03773957987749E-09,3.03774147716537E-09,2.5752565361418E-09,2.5752577841379E-09,1.94670299048028E-09,1.94670095957196E-09,1.04566035707628E-09,5.35802730128559E-10,5.35806983300066E-10,5.08733916291802E-10,4.96822760564376E-10,4.96823152966915E-10,4.51977968114927E-10,4.5197816287471E-10,3.44537936103587E-10,3.44538332062993E-10,3.19371593252733E-10,1.79953295353525E-10,8.20902581457932E-11,8.20910458852075E-11,7.9083691726016E-11,7.90805233154523E-11,6.83749617458756E-11,6.83750044900292E-11,4.95194572647614E-11,4.95199552090851E-11,4.27405310547405E-11
4.91,0.788524438690205,0.102819157458973,0.102819157459287,0.001360290755432,0.001360290755444,0.001282232842217,0.001282232841705,0.00039180160986,6.92149341817411E-05,2.14613080094085E-05,2.14613080124153E-05,1.81042711963782E-05,1.81042708521731E-05,4.16328155751835E-06,2.07463719310228E-06,2.07463718328441E-06,1.12776721268692E-06,3.5925610839985E-07,3.59256126045434E-07,3.20341572445653E-07,3.2034154560177E-07,2.40629857690813E-07,2.40629811964125E-07,2.09834179128352E-07,2.09834169762496E-07,7.82965312473958E-08,4.52525804084283E-08,4.23096269610201E-08,4.23096256047283E-08,3.36883397702854E-08,3.368833481278E-08,1.88195425200885E-08,1.17980034055246E-08,5.7293385088663E-09,5.72934005183037E-09,5.18555902548542E-09,5.18555171080539E-09,3.20054036148563E-09,3.20053277047722E-09,2.71523839807971E-09,2.71523744001258E-09,2.04822010622704E-09,2.0482176978772E-09,1.1057267291014E-09,5.66724139259081E-10,5.66723452054913E-10,5.38980443010097E-10,5.25193488961082E-10,5.25192335010441E-10,4.79817132806975E-10,4.79816308392783E-10,3.65571263113815E-10,3.65571230719676E-10,3.36960288423978E-10,1.90335117135438E-10,8.72464523654296E-11,8.72433400354859E-11,8.39206299651509E-11,8.39167899034809E-11,7.26773756494389E-11,7.26774816442524E-11,5.27639720690068E-11,5.27634445012431E-11,4.55202699970559E-11
4.9,0.787414992268207,0.103322945593216,0.103322945593143,0.001383800695174,0.001383800695139,0.001303049494007,0.001303049493466,0.00040079621649,7.07931977007124E-05,2.20550658445021E-05,2.20550658500323E-05,1.86111688075144E-05,1.86111684165815E-05,4.31107520155712E-06,2.14889627853762E-06,2.14889626873601E-06,1.16626420608671E-06,3.73161502930566E-07,3.73161519228111E-07,3.33235935940971E-07,3.33235907226422E-07,2.5060382463105E-07,2.50603773513445E-07,2.18616417302982E-07,2.18616407287982E-07,8.19006919910111E-08,4.74054528775263E-08,4.43879847730595E-08,4.43879837102535E-08,3.52674740527243E-08,3.52674681684496E-08,1.96709088525546E-08,1.23509399055554E-08,6.0203462392606E-09,6.02034932538238E-09,5.45026660283949E-09,5.4502586858555E-09,3.37273934795519E-09,3.37273089830989E-09,2.86340653699081E-09,2.8634052950072E-09,2.1554541632086E-09,2.15545146728579E-09,1.16950487999648E-09,5.99559450101314E-10,5.99558905159704E-10,5.71151931496822E-10,5.55307200685351E-10,5.55305890048951E-10,5.0948777837383E-10,5.09487025899574E-10,3.87971796498178E-10,3.87971757475178E-10,3.55603083663351E-10,2.01365166360697E-10,9.27654445465997E-11,9.27625627394956E-11,8.90907346790536E-11,8.90866627670618E-11,7.72695276249625E-11,7.72696566224465E-11,5.62349067637591E-11,5.62344798791874E-11,4.85042070241947E-11
4.89,0.786295962206981,0.103830439231662,0.103830439230268,0.001407801399678,0.001407801399582,0.001324277462023,0.001324277461496,0.000410028983936,7.24137633499264E-05,2.26676531726113E-05,2.26676531848383E-05,1.91341887444806E-05,1.91341882975136E-05,4.46468627650076E-06,2.22610041926729E-06,2.22610040962383E-06,1.20623331830451E-06,3.87660550758298E-07,3.8766057129917E-07,3.46709023412343E-07,3.46708987377344E-07,2.610269698191E-07,2.61026904883301E-07,2.27799093704712E-07,2.27799085099349E-07,8.56849542639174E-08,4.96696227218055E-08,4.65760562277809E-08,4.65760544016137E-08,3.69270294977235E-08,3.69270233994818E-08,2.0564390175617E-08,1.29320798098928E-08,6.32723597215665E-09,6.32723958236611E-09,5.72962664191614E-09,5.72961945689096E-09,3.55487027956998E-09,3.55486258211579E-09,3.02022785466637E-09,3.02022697193567E-09,2.26875547258253E-09,2.26875306047535E-09,1.2372299126121E-09,6.34433049825962E-10,6.34432421497395E-10,6.05380219956332E-10,5.87274566828999E-10,5.87273202784012E-10,5.41109686980615E-10,5.41108908616035E-10,4.11834464939552E-10,4.11834426616099E-10,3.75365914900069E-10,2.13083223396136E-10,9.86368909966612E-11,9.86337129785563E-11,9.46029884041213E-11,9.45995114545418E-11,8.21718166981598E-11,8.21718931433597E-11,5.99475542678376E-11,5.99471373528625E-11,5.16911608438858E-11
4.88,0.785167226767602,0.104341671563426,0.10434167156182,0.001432304967789,0.001432304967676,0.001345926421469,0.001345926420901,0.000419507084175,7.40779439801328E-05,2.3299746753622E-05,2.32997467780388E-05,1.96739079701989E-05,1.96739074534437E-05,4.62436667221774E-06,2.30637831350864E-06,2.3063783051565E-06,1.2477370483352E-06,4.02781181794392E-07,4.0278120788457E-07,3.60789604890683E-07,3.60789563624324E-07,2.71921139168099E-07,2.71921064185977E-07,2.37402043707327E-07,2.37402036761492E-07,8.96590481975035E-08,5.20512360494829E-08,4.8880045899861E-08,4.88800442505463E-08,3.86714499855691E-08,3.86714457659593E-08,2.15022045883303E-08,1.35429767462788E-08,6.65099751149696E-09,6.65100294248501E-09,6.02450645149095E-09,6.02449816305199E-09,3.74753712384785E-09,3.74752804923484E-09,3.18627652840237E-09,3.18627496627083E-09,2.38848420040558E-09,2.38848179278791E-09,1.30916234510346E-09,6.71487405974651E-10,6.71486581665062E-10,6.41787037153803E-10,6.2122741213069E-10,6.21226394099693E-10,5.74823282311169E-10,5.74824074897275E-10,4.37260996316101E-10,4.37260977611944E-10,3.96307364321687E-10,2.25533421883677E-10,1.0490432789004E-10,1.04901253563503E-10,1.00474352385928E-10,1.0047062062549E-10,8.7405539494666E-11,8.74056303418188E-11,6.39212241579038E-11,6.39208056759688E-11,5.50909844833309E-11
