parameter,"(24,24)[0]","(25,24)[0]","(24,25)[0]","(24,23)[0]","(23,24)[0]","(25,25)[0]","(25,23)[0]","(23,23)[0]","(23,25)[0]","(24,24)[1]","(24,24)[2]","(25,24)[1]","(24,25)[1]","(24,23)[1]","(23,24)[1]","(25,24)[2]","(24,25)[2]","(24,23)[2]","(23,24)[2]","(26,24)[0]","(24,26)[0]","(24,22)[0]","(22,24)[0]","(25,25)[1]","(25,25)[2]","(25,23)[1]","(25,23)[2]","(23,23)[1]","(23,25)[1]","(23,23)[2]","(23,25)[2]","(26,25)[0]","(25,26)[0]","(26,23)[0]","(25,22)[0]","(23,26)[0]","(23,22)[0]","(22,23)[0]","(22,25)[0]","(24,24)[3]","(24,24)[4]","(24,24)[5]","(24,24)[6]","(24,24)[7]","(25,24)[3]","(24,25)[3]","(24,23)[3]","(23,24)[3]","(25,24)[4]","(24,25)[4]","(24,23)[4]","(23,24)[4]","(25,24)[5]","(25,24)[6]","(24,25)[5]","(24,25)[6]","(24,23)[5]","(24,23)[6]","(23,24)[5]","(23,24)[6]"
-0.008695,0.188711318,0.087460986,0.087180434,0.086902254,0.0866123,0.040313166,0.039989627,0.039773943,0.039724038,0.025105284,0.025083017,0.011491759,0.011448479,0.011410765,0.011369146,0.01025305,0.010204771,0.010168579,0.010117466,0.007675885,0.007619626,0.007554261,0.00749597,0.004667979,0.004655806,0.004633681,0.00461494,0.004594714,0.004593977,0.004576583,0.004575768,0.003494052,0.003479368,0.003447539,0.003417255,0.003411316,0.003408226,0.003393607,0.003380324,0.003224035,0.002756763,0.002720466,0.002704811,0.002683093,0.001294328,0.001287296,0.001282921,0.001275235,0.001269357,0.001264245,0.001257413,0.001251518,0.001223726,0.001219982,0.001219679,0.001214745,0.001214431,0.001209169,0.001208521,0.001205496
-0.01223,0.188717458,0.087463298,0.087185005,0.086889494,0.086614843,0.04034141,0.039959907,0.039794801,0.039702218,0.025107414,0.025076094,0.011490561,0.011449516,0.011409524,0.011368239,0.0102528,0.010208341,0.010167557,0.010118265,0.007676161,0.007621898,0.007552261,0.007496897,0.004670446,0.004658907,0.004630614,0.004612061,0.004596166,0.004593141,0.004578117,0.004574336,0.003498226,0.003484319,0.003443346,0.003412623,0.003408565,0.003411392,0.00339759,0.003376848,0.003223903,0.002756664,0.002720684,0.002704701,0.002683479,0.001293816,0.00128758,0.001282708,0.001274723,0.0012694,0.001264277,0.001256989,0.001251645,0.001223847,0.001220018,0.001219528,0.00121495,0.001214288,0.001208917,0.00120892,0.001205461
-0.01592,0.188713999,0.087467345,0.087176403,0.086899336,0.086609762,0.040366062,0.039940122,0.039823764,0.039670531,0.025112729,0.02507239,0.011491515,0.011448414,0.01141094,0.011368181,0.010253156,0.010206216,0.010169645,0.010117774,0.007676655,0.007619905,0.007554479,0.00749609,0.004672061,0.0046608,0.004629792,0.004610629,0.004598698,0.004590114,0.004581032,0.004571085,0.003502227,0.003487719,0.003439847,0.003409681,0.003403453,0.003416204,0.003401714,0.003372228,0.003223993,0.00275651,0.002720873,0.002704247,0.002683371,0.001293988,0.001287314,0.001282885,0.001274861,0.001269328,0.001264087,0.001257291,0.001251554,0.001223785,0.001220091,0.001219174,0.001214933,0.001214554,0.001208826,0.001208804,0.001205274
-0.01683,0.188723477,0.087455878,0.08718043,0.086903732,0.086621659,0.040365124,0.039927188,0.039833904,0.039669206,0.025112881,0.025072909,0.011488962,0.011447404,0.011409424,0.011369281,0.010250599,0.010205902,0.010169845,0.010118709,0.007673498,0.007619747,0.007554654,0.007497402,0.004671656,0.004660709,0.004628899,0.004609129,0.004599549,0.004590571,0.004582604,0.004570879,0.003501674,0.003487914,0.003437794,0.003408238,0.003403014,0.0034174,0.003403034,0.003372234,0.003223421,0.00275696,0.002721053,0.002704447,0.002683147,0.001294131,0.001287547,0.00128313,0.001275375,0.001269097,0.001264328,0.001257441,0.001251674,0.001223544,0.001219917,0.001219176,0.001215089,0.001214528,0.001208901,0.001208896,0.00120547
-0.01946,0.18871988,0.087469508,0.087173764,0.086905867,0.086607437,0.040389518,0.039918519,0.039848392,0.03964255,0.025116727,0.025068764,0.011492101,0.011447389,0.011411087,0.011367495,0.010253036,0.010205547,0.010170476,0.010116787,0.007676448,0.0076188,0.007555243,0.007494884,0.004673675,0.004662744,0.00462838,0.0046086,0.004600497,0.004587873,0.004583409,0.004568073,0.003505795,0.003491032,0.003436188,0.003406283,0.00339904,0.003420111,0.003404816,0.003367947,0.003223891,0.002756591,0.002721046,0.002704117,0.002683321,0.001294122,0.00128727,0.001283071,0.001274947,0.001269338,0.001264089,0.001257421,0.001251393,0.001223837,0.001220108,0.001218914,0.001214997,0.001214699,0.001208732,0.00120878,0.001205074
-0.02343,0.188717896,0.087460944,0.08717584,0.086899078,0.086618363,0.040414968,0.039883108,0.039879164,0.039620914,0.025119881,0.025064933,0.011489883,0.011448017,0.011410457,0.011368748,0.01025254,0.010206477,0.01016882,0.010118579,0.007675421,0.007619702,0.007553786,0.007497279,0.004675481,0.004665651,0.004625704,0.004604958,0.004602688,0.004587088,0.004586356,0.004566438,0.003509941,0.003495593,0.003431106,0.003401064,0.003395697,0.003424297,0.003410313,0.003364775,0.003223753,0.002756619,0.002721372,0.002703818,0.002683323,0.001294006,0.001287476,0.001282933,0.001275084,0.001269316,0.001264126,0.001257274,0.001251719,0.001223624,0.001219957,0.001218887,0.001215208,0.001214891,0.001208464,0.001209199,0.001205068
-0.02977,0.188739611,0.087482648,0.087157059,0.086923821,0.086600795,0.040459203,0.039856623,0.039923467,0.03955485,0.02512605,0.025057379,0.011492551,0.011444513,0.011412578,0.011365523,0.010258037,0.010202978,0.010170989,0.010116034,0.007679942,0.007613813,0.007556526,0.007492385,0.004679101,0.004669259,0.004625109,0.004602859,0.004605638,0.004580746,0.00459045,0.004559083,0.003517721,0.003500731,0.003426981,0.003395854,0.003384234,0.003431567,0.003415795,0.003353998,0.003223797,0.002756525,0.002721329,0.002703231,0.002683353,0.00129457,0.001286832,0.001283006,0.001274688,0.001269793,0.001263494,0.001257276,0.001251011,0.001223805,0.001219775,0.001218198,0.001214755,0.001215502,0.001208369,0.001208705,0.001204059
-0.03708,0.188713041,0.087425275,0.087243416,0.086836123,0.086652552,0.040527452,0.039731875,0.039960274,0.039565359,0.025140722,0.025060082,0.011485039,0.011457231,0.011400492,0.011373493,0.01024546,0.01021682,0.01015905,0.010120198,0.007665608,0.007630488,0.007540949,0.007501218,0.004686365,0.00467873,0.004613366,0.004589937,0.004608691,0.004587634,0.004595215,0.004562537,0.003524501,0.003515367,0.003409294,0.00337877,0.003386939,0.003435371,0.003424588,0.003354938,0.003222963,0.002758319,0.002722694,0.002701772,0.002682634,0.001296422,0.001290624,0.00128341,0.00127695,0.001269071,0.001265921,0.001256687,0.001252589,0.001223482,0.001219129,0.001219785,0.001216386,0.001214365,0.001206907,0.001210534,0.001204913
-0.03955,0.188713054,0.08743978,0.087250373,0.086818689,0.086650977,0.04055686,0.039713957,0.03996714,0.039549634,0.025144559,0.02505801,0.011485936,0.011460525,0.01140002,0.011371085,0.010246228,0.010220427,0.010153767,0.010118676,0.007667407,0.007632993,0.007536601,0.007500051,0.004689507,0.004682124,0.004611051,0.004586794,0.004607995,0.004587765,0.004595125,0.004561031,0.003528461,0.003519682,0.003406792,0.003374911,0.003385204,0.003436117,0.003425857,0.003351753,0.003223105,0.002758237,0.002722873,0.00270134,0.002682359,0.001296258,0.001291984,0.001282951,0.001276449,0.001269466,0.001265993,0.001256058,0.001252752,0.00122365,0.001219342,0.001219863,0.001216512,0.001214119,0.001206479,0.001210783,0.001204414
-0.04078,0.188714376,0.087435246,0.08725114,0.086824623,0.086644197,0.040562365,0.039706145,0.039976299,0.039538743,0.025144634,0.02505627,0.011486264,0.01145906,0.011399668,0.011371737,0.010246413,0.010220174,0.010156915,0.010118433,0.007666908,0.007632691,0.007538543,0.007499002,0.004689685,0.004682917,0.004611328,0.004587062,0.004609094,0.004586622,0.004596195,0.004560207,0.003529557,0.003521066,0.003405583,0.003374266,0.003383597,0.003437826,0.003427059,0.003350261,0.003223224,0.002758378,0.002722866,0.002701458,0.00268266,0.001296546,0.001291498,0.001283171,0.001276716,0.001269262,0.001266098,0.001256439,0.00125246,0.001223732,0.001219302,0.001219865,0.001216438,0.001214351,0.001206474,0.001210759,0.001204478
