parameter,"(16,16)[0]","(16,17)[0]","(15,16)[0]","(17,16)[0]","(16,15)[0]","(15,17)[0]","(17,15)[0]","(17,17)[0]","(15,15)[0]","(16,16)[1]","(16,16)[2]","(15,16)[1]","(16,17)[1]","(17,16)[1]","(16,15)[1]","(16,17)[2]","(15,16)[2]","(17,16)[2]","(16,15)[2]","(16,18)[0]","(14,16)[0]","(18,16)[0]","(16,14)[0]","(15,17)[1]","(15,17)[2]","(17,15)[1]","(17,15)[2]","(14,17)[0]","(15,18)[0]","(18,15)[0]","(17,14)[0]","(17,17)[1]","(15,15)[1]","(15,15)[2]","(17,17)[2]","(16,16)[3]","(16,16)[4]","(16,16)[5]","(16,16)[6]","(16,16)[7]","(17,18)[0]","(14,15)[0]","(18,17)[0]","(15,14)[0]","(15,16)[3]","(16,17)[3]","(17,16)[3]","(16,15)[3]","(15,16)[4]","(16,17)[4]","(16,15)[4]","(17,16)[4]","(15,16)[5]","(16,17)[5]","(16,15)[5]","(17,16)[5]","(16,17)[6]","(15,16)[6]","(17,16)[6]","(16,15)[6]"
-0.018,0.193839785,0.088405473,0.088204642,0.088466036,0.088284146,0.039914126,0.039973636,0.040357272,0.040174734,0.024864637,0.024833626,0.011167477,0.011195654,0.011203774,0.011175654,0.009900928,0.009873098,0.009907763,0.009887306,0.00744387,0.007396726,0.007450954,0.007413778,0.004425411,0.004412063,0.004434288,0.00441928,0.003292703,0.003303222,0.003310435,0.003302128,0.0044674,0.004442714,0.004436553,0.004462551,0.003068664,0.002600754,0.002544973,0.002542663,0.002531408,0.003366622,0.003336349,0.003368781,0.003341264,0.001203635,0.001205302,0.001207724,0.001204095,0.001177663,0.001181935,0.001178889,0.001182034,0.001133435,0.001136284,0.001134216,0.001138063,0.001132431,0.001128885,0.001133151,0.001129519
-0.028,0.193881555,0.088481181,0.08822442,0.088429928,0.088236219,0.039866439,0.039853152,0.040452351,0.040226723,0.024895472,0.024833498,0.011173337,0.011207432,0.011206805,0.011170537,0.00990924,0.009882351,0.009910243,0.009867938,0.00745395,0.007395653,0.007438584,0.007393411,0.00442608,0.004411141,0.004424516,0.004409053,0.00328144,0.003296212,0.003292089,0.003280405,0.004476798,0.004447193,0.004438918,0.004472519,0.003070505,0.002602615,0.002539928,0.002533463,0.002532187,0.003383515,0.00334783,0.003378658,0.003344023,0.001205713,0.001210127,0.001210701,0.001203917,0.001177674,0.001182419,0.001176807,0.001179713,0.001132451,0.00113942,0.001135493,0.001137299,0.001129968,0.001124394,0.001129964,0.001126174
-0.046,0.193910754,0.088454033,0.088237297,0.088441754,0.088249521,0.039725513,0.039716252,0.040575562,0.040375362,0.024915887,0.024808513,0.011173672,0.011205121,0.011204584,0.011172279,0.009909088,0.009879435,0.009905862,0.00987953,0.007445319,0.007398613,0.007439785,0.007401078,0.004412827,0.004399253,0.004412857,0.004397416,0.003262316,0.003273921,0.003269928,0.003260539,0.004486531,0.004459408,0.004456071,0.004482082,0.003072176,0.002599956,0.002539691,0.002532611,0.002525568,0.003400596,0.00336959,0.003399995,0.003368894,0.001205071,0.001208195,0.001209068,0.001204274,0.001176446,0.001181426,0.001176082,0.001179362,0.001133838,0.001138709,0.001134614,0.001138124,0.001128233,0.001124293,0.001127639,0.001123597
-0.065,0.193877914,0.088454738,0.088291795,0.088413096,0.088197823,0.039606587,0.039533515,0.040722748,0.04054295,0.02492299,0.024770783,0.011171057,0.01120849,0.011189662,0.011169597,0.009915526,0.009887944,0.009898552,0.009871172,0.007451375,0.007408325,0.007439893,0.00739307,0.004409374,0.004387769,0.004398739,0.004373703,0.003243924,0.003255119,0.003243818,0.003232648,0.00450089,0.00447403,0.004470114,0.004495383,0.003069432,0.002599754,0.002549499,0.00253658,0.00253187,0.003426421,0.003397065,0.003422113,0.003394436,0.001205467,0.001210897,0.001204667,0.001203584,0.001179468,0.001182064,0.001175617,0.001181643,0.001136571,0.00113975,0.00113408,0.001137526,0.001131666,0.001127347,0.001130609,0.001126875
-0.067,0.19390169,0.088396024,0.08828648,0.08840447,0.088288146,0.039563744,0.0395674,0.040688229,0.040585377,0.024928526,0.024765424,0.011172237,0.011190414,0.011190432,0.011176667,0.009901255,0.009887143,0.009902952,0.009883409,0.007437539,0.007409817,0.007436501,0.00741023,0.004402987,0.004382582,0.004403637,0.004381839,0.003241212,0.003248404,0.003248114,0.003241103,0.004492011,0.004478293,0.004475218,0.004489942,0.003068302,0.002600972,0.002541118,0.002539432,0.00253261,0.003418647,0.003402558,0.003418301,0.003403163,0.001204981,0.001206753,0.001206817,0.001204486,0.001178192,0.001180198,0.001177618,0.001179443,0.001136268,0.001138467,0.001136623,0.00113691,0.001128926,0.00112675,0.001128553,0.001126969
-0.074,0.193940624,0.088433302,0.08826839,0.088409848,0.0882542,0.039510088,0.039488656,0.040772508,0.040611789,0.024942422,0.024770545,0.011173426,0.011205417,0.011196259,0.011173169,0.009907391,0.009890933,0.009907609,0.009882986,0.007439721,0.007404781,0.007430786,0.007401278,0.004403105,0.004378863,0.004396756,0.004374557,0.00323002,0.00324059,0.003234203,0.003227625,0.004501543,0.004480587,0.004476022,0.004499233,0.003070974,0.002602393,0.002540283,0.002535377,0.002524782,0.003431132,0.003406501,0.003427467,0.003404705,0.00120507,0.001209305,0.001207362,0.00120497,0.001176949,0.001179045,0.001176139,0.001178296,0.001136575,0.001140154,0.001134649,0.00113871,0.0011271,0.001123832,0.001127343,0.001121901
-0.089,0.193859288,0.088362513,0.088309731,0.088358315,0.08831504,0.039406866,0.039402116,0.040841542,0.040789941,0.024959273,0.024753495,0.01118384,0.011199325,0.011190889,0.011187384,0.009889105,0.009889631,0.009888547,0.009885629,0.007428264,0.007414142,0.007422003,0.007414696,0.004390174,0.004364736,0.004389061,0.004362422,0.003218264,0.003220675,0.003219339,0.00321696,0.004499479,0.004496286,0.004491775,0.004497541,0.003072656,0.002598746,0.002549629,0.00253454,0.002531335,0.003441746,0.00343164,0.003438076,0.003432676,0.001207275,0.001206417,0.001207063,0.001206378,0.001179418,0.001180127,0.001179451,0.001179292,0.001136331,0.001139596,0.00113728,0.001137385,0.001128295,0.001127564,0.001127225,0.001127465
-0.112,0.193897717,0.088381636,0.088327177,0.088336966,0.08829424,0.039248843,0.039210243,0.04100609,0.040962458,0.024974043,0.02471595,0.011182434,0.011191485,0.011186122,0.011177464,0.009897538,0.009889233,0.009889408,0.00988536,0.007433674,0.007416265,0.007422434,0.007410885,0.004382478,0.004350054,0.00437776,0.004345629,0.003195072,0.003199573,0.003191455,0.003189663,0.004517426,0.004510118,0.00450463,0.004511436,0.003070504,0.002599677,0.002552128,0.002534484,0.002531551,0.003468694,0.003459032,0.003464872,0.003457192,0.001207806,0.001207104,0.001207792,0.001206588,0.001179694,0.001179533,0.001179102,0.001178873,0.001138967,0.001139557,0.001137917,0.001139465,0.001127011,0.001126482,0.001127496,0.001126178
-0.113,0.193929795,0.088394104,0.088266685,0.088389538,0.088272339,0.039221646,0.039216323,0.041038108,0.040911098,0.024978467,0.024712161,0.011176735,0.011193174,0.011195546,0.011170593,0.009907997,0.00988361,0.009903554,0.009893569,0.007434825,0.007402465,0.007433639,0.007407065,0.004379894,0.004349708,0.004380492,0.004351234,0.003187634,0.003197311,0.003195715,0.003188576,0.004523192,0.00450782,0.004499136,0.004519818,0.00307213,0.002601495,0.002548074,0.002536501,0.002534988,0.003473888,0.00344871,0.003472066,0.003451514,0.001206881,0.001209359,0.001208612,0.001206437,0.001175841,0.001180662,0.00117814,0.001179396,0.001139118,0.001139174,0.001138481,0.001141299,0.001127493,0.001126106,0.001128149,0.001123699
-0.136,0.193964611,0.088495699,0.088219601,0.088430089,0.088174707,0.039071278,0.039019075,0.041284389,0.041023777,0.025015345,0.024684789,0.011173158,0.011208508,0.011205558,0.011161484,0.009920838,0.009879234,0.009915053,0.009872653,0.007448889,0.007393247,0.007440009,0.007382188,0.004370299,0.004337712,0.004364031,0.004329595,0.00316331,0.003176082,0.003168839,0.003154683,0.004547667,0.004510734,0.004506327,0.004543619,0.003074302,0.00260018,0.00254905,0.00253466,0.002523062,0.003509347,0.003468602,0.003507353,0.003466311,0.001206355,0.001211068,0.001211314,0.001203308,0.001174786,0.001182009,0.001175306,0.001179811,0.001138581,0.0011425,0.001136471,0.001140724,0.001126476,0.001121351,0.001125111,0.001118737
-0.144,0.193967212,0.088409835,0.088237095,0.088420284,0.088257878,0.038975462,0.038995089,0.041302051,0.041136704,0.025029289,0.024681882,0.011175097,0.011203809,0.011205687,0.011176797,0.009903327,0.00987411,0.009907132,0.009884388,0.007431349,0.007391653,0.007433601,0.007396717,0.004359448,0.004325923,0.004362994,0.004328396,0.003149573,0.003159805,0.003163297,0.003153207,0.004546705,0.004523091,0.004512843,0.004539603,0.003078024,0.002598931,0.002547248,0.002534633,0.002522524,0.003509648,0.003481083,0.003510573,0.003485183,0.001206274,0.001210334,0.001212565,0.00120839,0.00117492,0.001179266,0.001176696,0.001179569,0.001137732,0.001141273,0.001138429,0.001141655,0.001124714,0.001121246,0.001125872,0.001118838
-0.148,0.193965174,0.088446669,0.088245261,0.088403709,0.088205187,0.038963894,0.03892672,0.041352735,0.04115701,0.025021394,0.024681481,0.011175667,0.011208897,0.011200624,0.011170729,0.009915297,0.009883076,0.009903069,0.00988376,0.007444149,0.007398493,0.007430412,0.007393125,0.004362278,0.004323193,0.004356847,0.004317994,0.003148431,0.003158096,0.003153037,0.003144119,0.00455283,0.0045264,0.004517284,0.004545735,0.00307509,0.002599508,0.002551785,0.002536338,0.00252213,0.003521229,0.003488782,0.003517476,0.003489314,0.001206,0.001209537,0.001209452,0.001205708,0.001176382,0.001180036,0.001176549,0.001178885,0.001138286,0.001142093,0.001136432,0.001142195,0.001125041,0.001121486,0.00112442,0.001120108
-0.15,0.193955944,0.088481034,0.088201754,0.088449668,0.088201907,0.038944207,0.038931412,0.041414206,0.041148461,0.02503199,0.024672222,0.011172182,0.011213152,0.011211997,0.011165755,0.009908672,0.009872011,0.009906179,0.009865781,0.007444644,0.007387572,0.007440426,0.007383237,0.004357202,0.00431908,0.004355857,0.00431923,0.003142763,0.003154777,0.003155481,0.003140915,0.004556468,0.004518446,0.004513152,0.004550794,0.003075278,0.00259668,0.002552175,0.002531698,0.002521324,0.003528542,0.00348734,0.003527291,0.003484489,0.001205834,0.001211532,0.001211492,0.001204652,0.001174776,0.001181255,0.001175286,0.001179593,0.001137062,0.001140695,0.001137306,0.00114235,0.001125041,0.001119937,0.001126774,0.00111909
-0.152,0.193971021,0.088486605,0.088224076,0.088452058,0.088152233,0.038947316,0.038904235,0.041425046,0.041131793,0.025033161,0.024669763,0.011169637,0.011213329,0.011209106,0.011164347,0.009913776,0.009880545,0.009913979,0.0098698,0.007447221,0.007392018,0.007438719,0.007374999,0.004359867,0.004324026,0.00435563,0.00431715,0.003145353,0.003157673,0.003150847,0.00313672,0.004557099,0.004520776,0.004511556,0.004553238,0.00307654,0.002598935,0.002549222,0.002535157,0.002524466,0.003530426,0.003485303,0.003528249,0.003480483,0.001205225,0.00121241,0.001210256,0.001205369,0.001176941,0.001179763,0.001173101,0.001180102,0.001137277,0.001144157,0.001136893,0.001141481,0.001126009,0.001119708,0.001124704,0.001120167
-0.154,0.193964227,0.088436272,0.0882321,0.088421601,0.088225598,0.038925587,0.038915947,0.041391466,0.041202871,0.025040205,0.024675277,0.011181492,0.011207919,0.01121011,0.011177107,0.009905553,0.009875996,0.009901281,0.009877005,0.007434889,0.007392846,0.007431975,0.007388152,0.004356211,0.004319583,0.00435555,0.004317462,0.003142679,0.003151407,0.003150426,0.003139701,0.004550791,0.004525027,0.004515921,0.004545426,0.003079898,0.002596675,0.002546865,0.002535268,0.002520364,0.003520984,0.003492504,0.003522477,0.003492758,0.0012078,0.001208432,0.00121166,0.001206033,0.001175306,0.001179278,0.001174986,0.00117895,0.001138271,0.001141823,0.001137775,0.001141294,0.001124287,0.00112011,0.001123189,0.001119018
